Word,LgSUBTLWF,OLD,PLD,NSyll
length,2.555,2.6,1.9,1
less,3.753,1.55,1.15,1
lesson,3.216,2,1.65,2
let,5.091,1,1,1
letter,3.625,1.65,1,2
letters,3.281,1.85,1.55,2
lettuce,2.24,2.9,1.8,2
liar,3.254,1.95,1.35,1
liberty,2.929,2.75,2.85,3
lid,2.401,1.15,1,1
lie,3.788,1.05,1,1
life,4.609,1.45,1.1,1
light,3.926,1.35,1,1
lightning,2.858,2.75,2.15,2
like,5.309,1.15,1,1
line,4.022,1,1,1
lion,2.894,1.7,1.55,1
listen,4.444,1.85,1.65,2
little,4.868,2,1.55,2
live,4.245,1.15,1.25,1
load,3.174,1.45,1,1
lobster,2.574,1.95,2.45,2
lock,3.46,1.05,1,1
log,2.786,1.05,1.25,1
lonely,3.328,1.95,1.9,2
long,4.537,1.5,1.2,1
look,4.997,1.4,1.1,1
looks,4.201,1.6,1.4,1
loose,3.329,1.65,1,1
lose,3.923,1.05,1,1
loser,3.14,1.5,1.5,2
lost,4.145,1.35,1.35,1
lot,4.463,1,1,1
lots,3.487,1.35,1.35,1
loud,3.308,1.7,1.45,1
love,4.755,1.15,1.35,1
loving,3.106,1.8,1.85,2
low,3.48,1,1,1
luck,3.894,1.25,1,1
luggage,2.754,2.95,2.7,2
lunch,3.725,1.65,1.7,1
machine,3.554,2.35,2.55,2
mad,3.762,1,1,1
magazine,3.229,2.95,3.7,3
magic,3.429,1.9,2.6,2
maid,3.066,1.5,1,1
mail,3.274,1.1,1,1
major,3.728,1.85,1.8,2
make,4.85,1.05,1,1
maker,2.401,1.65,1.55,2
male,3.239,1,1,1
mall,2.985,1.1,1,1
man,4.974,1,1,1
manners,2.814,1.9,1.65,2
many,4.263,1.6,1.35,2
map,3.211,1,1,1
marker,2.428,1.7,1.7,2
market,3.267,1.85,1.8,2
marriage,3.595,2.6,2.2,2
marry,3.726,1.55,1.35,2
massage,2.753,2.4,2.6,2
material,3.053,2.45,2.6,3
math,2.923,1.35,1.1,1
maybe,4.674,2,1.9,2
maze,2.117,1.25,1,1
me,5.673,1.4,1,1
mean,4.802,1.35,1,1
meaning,3.28,1.85,1.7,2
meat,3.348,1.05,1,1
medicine,3.242,2.75,2.15,2
meet,4.255,1.65,1,1
meeting,3.829,1.9,1.35,2
men,4.279,1,1,1
messy,2.545,1.85,1.65,2
metal,2.997,1.75,1.2,2
middle,3.658,1.7,1.05,2
mile,3.03,1,1,1
milk,3.337,1.5,1.55,1
mind,4.393,1.25,1.25,1
mine,4.107,1,1,1
minimum,2.619,3.15,2.75,3
minor,2.816,1.85,1.35,2
minus,2.604,1.7,1.65,2
minute,4.285,2,1.85,2
mirror,3.091,2.5,1.8,1
mist,2.26,1.3,1,1
mistake,3.716,2.5,1.8,2
mix,2.922,1.75,1.15,1
mixture,2.104,2.5,2.5,2
mob,2.82,1.4,1.3,1
modern,2.969,2.35,2.6,2
mold,2.342,1.25,1,1
mom,4.341,1.7,1.1,1
money,4.514,1.75,1,2
monk,2.576,1.7,1.4,1
monkey,3.233,1.9,1.7,2
monster,3.297,1.9,2.15,2
monthly,2.185,2.75,2.75,2
moon,3.406,1.25,1,1
more,4.821,1,1,1
morning,4.35,1.85,1.85,2
most,4.253,1.45,1.25,1
motel,2.967,1.8,2.2,2
mother,4.389,1.8,1.7,2
motion,2.986,1.75,1.6,2
motorcycle,2.659,4.65,5.55,4
mountain,3.257,2.55,2.55,2
mountains,2.979,2.5,2.75,2
mouse,2.989,1.55,1.45,1
mouth,3.726,1.7,1.85,1
move,4.329,1.35,1.4,1
movement,2.88,2.75,2.8,2
movie,3.797,1.9,1.7,2
mud,2.879,1.65,1,1
multiply,2,3.4,3.65,3
murder,3.757,1.95,1.8,2
murderer,3.132,2.8,2.8,3
muscle,2.842,2.2,1.35,2
music,3.889,2,2.05,2
mustache,2.403,3,2.35,2
nail,2.979,1.25,1,1
naked,3.302,1.65,2,2
name,4.515,1.45,1,1
narrow,2.555,1.75,1.55,2
nature,3.362,1.95,2,2
navy,3.118,1.9,1.9,2
near,3.627,1.3,1,1
neat,2.804,1.3,1,1
neck,3.482,1.7,1.35,1
necklace,2.697,3.4,1.95,2
need,4.82,1.5,1,1
needle,2.785,2.15,1.65,2
negative,3.117,2.7,2.8,3
nephew,2.928,2.8,3.45,2
nervous,3.535,2.75,2.05,2
neuron,0.903,2.5,2.65,2
neutron,1.806,2.8,2.9,2
never,4.842,1.75,1.8,2
new,4.567,1.3,1,1
news,3.924,1.7,1,1
newspaper,3.082,3.6,3.6,3
Newton,2.283,2.5,2,2
nice,4.52,1.4,1.2,1
night,4.645,1.5,1,1
no,5.484,1.35,1,1
noise,3.25,1.7,1.7,1
none,3.751,1.3,1,1
normal,3.555,1.8,1.95,2
nose,3.551,1.2,1,1
not,5.442,1.05,1,1
note,3.437,1.5,1,1
nothing,4.639,1.85,1.9,2
novel,2.711,1.8,1.8,2
novice,1.623,2.2,2,2
now,5.213,1.05,1.15,1
number,4.09,1.85,1.75,2
nun,2.551,1.4,1,1
nurse,3.361,1.8,1.65,1
nut,2.902,1.4,1,1
object,3.119,2.45,2.85,2
obsession,2.462,2.9,2.3,3
obstacle,2.124,3.35,3.5,3
ocean,3.189,1.95,1.7,2
octopus,2,3,3,3
odd,3.089,1.75,1,1
off,4.779,1.8,1.3,1
offense,2.925,2.45,1.9,2
office,4.017,2.5,2,2
often,3.466,1.95,1.8,2
oil,3.321,1.5,1,1
okay,5.01,2,1.8,2
old,4.492,1.55,1.15,1
on,5.55,1.05,1.3,1
once,4.245,1.9,1.75,1
one,5.195,1.25,1,1
onion,2.337,1.85,2.2,2
open,4.213,1.75,1.75,2
opening,3.292,2.4,2.3,3
operation,3.351,2.4,2.55,4
orange,3.057,1.85,1.95,2
order,3.902,1.85,1.55,2
organize,2.344,2.4,2.8,3
orgasm,2.33,2.7,3.25,3
out,5.295,1.15,1,1
outdoors,2.033,3.1,3.6,2
oven,2.657,1.6,1.85,2
owl,2.458,1.4,1.15,1
own,4.37,1.55,1,1
owner,3.074,1.85,1.35,2
oxygen,2.851,3.05,3.55,3
oyster,2.196,1.9,1.85,2
package,3.066,2.7,2.15,2
pain,3.699,1.15,1,1
paint,3.274,1.5,1.25,1
painting,3.173,1.8,1.85,2
pan,2.798,1,1,1
pants,3.477,1.55,1.75,1
paper,3.722,1.6,1.5,2
parent,2.827,1.9,1.85,2
park,3.566,1.2,1.1,1
part,4.125,1,1.05,1
partner,3.584,2.2,2.45,2
parts,3.177,1.45,1.55,1
party,4.075,1.5,1.6,2
pass,3.741,1.25,1,1
past,3.8,1.1,1,1
path,3.098,1.5,1.15,1
patience,2.895,2.85,2.2,2
patient,3.511,2.25,2,2
pavement,2.017,2.55,2.4,2
peace,3.55,1.8,1,1
peach,2.512,1.55,1.25,1
peak,2.483,1.3,1,1
peanut,2.8,2.6,2.75,2
pen,3.101,1,1,1
pencil,2.702,2.5,1.8,2
penny,3.093,1.9,1.5,2
people,4.75,2.3,1.8,2
pepper,2.653,1.85,1.65,2
perfect,3.908,2.6,2.75,2
perfume,2.766,2.6,3.3,2
period,3.152,2.5,2,2
person,4.036,1.85,2,2
personality,2.91,3.6,4.85,5
persuade,2.514,2.8,2.75,2
phone,4.138,1.65,1,1
piano,3.103,1.95,2.1,3
pick,4.005,1.15,1,1
picket,2.057,1.65,1.65,2
pickles,2.276,1.95,1.8,2
picture,3.849,2.4,1.85,2
pie,3.166,1.1,1,1
piece,3.803,1.8,1,1
pig,3.3,1.25,1,1
pill,2.781,1.15,1,1
pilot,3.134,1.85,1.65,2
pimple,1.935,1.75,1.75,2
pizza,3.233,2.5,2,2
place,4.488,1.55,1.4,1
plain,3.047,1.7,1.2,1
plan,3.871,1.5,1.35,1
plane,3.688,1.4,1.2,1
planet,3.296,1.7,1.85,2
planets,2.342,1.85,2.4,2
plant,3.149,1.55,1.6,1
plastic,2.981,2.55,2.45,2
plate,3.117,1.5,1.25,1
play,4.257,1.45,1.1,1
plead,2.554,1.75,1.4,1
pledge,2.546,2.1,1.8,1
plug,2.726,1.75,1.5,1
plus,3.38,1.75,1.65,1
poem,2.843,1.85,1.9,1
poetry,2.834,2.3,2.65,2
point,4.082,1.75,1.8,1
poison,3.098,2.15,2.15,2
poker,2.914,1.65,1.7,2
police,4.081,1.85,1.9,2
polish,2.694,2,1.9,2
polite,2.853,2,1.9,2
politics,2.927,2.5,3.4,3
pool,3.38,1.45,1,1
poor,3.818,1.6,1,1
positive,3.208,2.85,2.85,3
pot,3.061,1,1,1
potato,2.761,2.5,2.8,3
pound,2.851,1.55,1.4,1
power,3.881,1.45,1.25,1
precise,2.425,2.35,2.85,2
prejudice,2.215,3.25,3.65,3
present,3.659,1.8,2,2
president,3.856,2.35,2.6,3
pretty,4.301,2.1,1.8,2
preview,1.869,2.75,3.85,2
pride,3.15,1.65,1.2,1
priest,3.126,1.95,1.75,1
prince,3.362,1.85,1.75,1
princess,3.305,2.65,2.5,2
print,3.008,1.75,1.7,1
prison,3.527,1.9,1.8,2
prisoner,3.072,2.75,2.65,3
private,3.588,2.5,2.25,2
problem,4.226,2.65,2.9,2
prom,2.958,1.55,1.7,1
promise,3.893,2.1,1.95,2
proof,3.244,1.85,1.75,1
property,3.23,2.75,2.65,3
protect,3.554,2.05,2.3,2
protection,3.079,2.55,2.65,3
public,3.559,2.55,2.65,2
pudding,2.498,1.85,1.55,2
puke,2.505,1.65,1.85,1
pull,3.873,1.3,1,1
punishment,2.836,3.55,3.3,3
purple,2.799,2,2,2
purpose,3.253,2.35,1.95,2
purse,3.004,1.5,1.35,1
push,3.556,1.35,1.45,1
puzzle,2.574,1.85,1.7,2
pyramid,2.312,2.85,2.9,3
quack,2.375,1.85,1.55,1
quart,2.029,1.85,1.7,1
queen,3.446,2,1.8,1
question,4.005,2.8,2.7,2
questions,3.779,2.75,3,2
quick,3.744,1.85,1.4,1
quiet,3.777,1.85,1.95,1
rabbit,3.029,2.5,1.8,2
race,3.499,1,1,1
radio,3.595,1.85,1.85,3
rain,3.397,1.1,1,1
rare,3.037,1.1,1,1
rat,3.221,1,1,1
rattle,2.238,1.65,1.35,2
raw,2.716,1.3,1.15,1
reaction,2.92,2,2.6,3
read,4.09,1.1,1,1
ready,4.296,1.75,1.35,2
real,4.354,1.15,1.85,1
reason,3.994,1.95,1.6,2
recipe,2.59,1.9,2.6,3
record,3.64,1.9,1.85,2
red,3.878,1.1,1,1
reef,2.312,1.7,1,1
reel,2.223,1.35,1,1
referee,2.265,2.45,3,3
refuse,3.03,1.7,1.95,2
relative,2.6,2.35,2.75,3
relax,3.693,1.95,2,2
religion,2.85,2.7,2.55,3
remember,4.442,2.7,2.7,3
rent,3.246,1.2,1,1
repeat,3.227,1.8,1.75,2
reptile,1.863,2.5,2.6,2
Republican,2.316,3.8,4.2,4
restaurant,3.376,3.75,3.75,3
rhyme,2.354,2.25,1,1
ribs,2.63,1.7,1.5,1
rice,2.886,1.15,1,1
rich,3.613,1.85,1.25,1
ride,3.839,1,1,1
ridiculous,3.453,4.3,4,4
right,5.311,1.45,1,1
rights,3.179,1.75,1,1
ring,3.675,1.3,1,1
rip,3.012,1,1,1
river,3.452,1.55,1.55,2
road,3.757,1.55,1,1
robbery,3.07,2.45,2.15,3
rock,3.643,1.2,1,1
rocket,2.782,1.6,1.65,2
rocks,3.067,1.7,1.15,1
roof,3.26,1.55,1.05,1
room,4.351,1.4,1,1
rope,3.064,1,1,1
rose,3.432,1,1,1
roses,2.86,1.35,1.7,2
rot,2.597,1,1,1
rotten,2.95,1.95,1.85,2
rough,3.281,1.7,1,1
round,3.531,1.45,1.1,1
rude,3.051,1.4,1,1
rug,2.726,1.15,1,1
rule,3.39,1.5,1,1
ruler,2.212,1.8,1.7,2
rules,3.536,1.65,1.3,1
run,4.252,1,1,1
Russia,2.8,2.5,1.75,2
sad,3.51,1,1,1
safe,3.864,1.55,1.55,1
salad,2.939,1.95,1.85,2
sale,3.113,1,1,1
salt,2.998,1.6,1.3,1
same,4.328,1.15,1,1
sample,2.872,1.75,1.8,2
sand,3.015,1.2,1,1
sandwich,3.049,3.7,2.85,2
Santa,3.377,2,1.85,2
satin,2.127,1.9,1.7,2
sauce,2.901,1.75,1.1,1
saucer,2.149,1.8,1.85,2
save,3.918,1,1,1
saw,4.312,1.1,1,1
say,4.922,1,1,1
scare,3.234,1.35,1.4,1
scared,3.833,1.5,1.5,1
scary,3.126,1.75,1.85,2
schedule,3.182,3.55,3.35,2
school,4.23,2.3,1.45,1
science,3.279,2.75,1.85,1
scientist,2.794,3.7,3.05,2
scissors,2.534,3.3,1.8,2
scratch,2.983,2.35,1.85,1
sea,3.485,1.15,1,1
search,3.392,1.95,1.75,1
second,4.162,2.45,1.8,2
secret,3.747,1.9,2.2,2
secretary,3.229,3.3,3.4,4
secure,3.094,2.05,2.5,2
security,3.682,2.8,3.35,4
see,5.115,1,1,1
seek,2.971,1.3,1,1
self,2.859,1.8,1.7,1
sell,3.673,1.2,1,1
seller,2.053,1.75,1.45,2
senate,2.521,1.95,1.7,2
sentence,3.02,2.6,2.65,2
separate,3.045,2.65,2.75,3
service,3.61,2.6,1.8,2
seven,3.727,1.8,1.75,2
sew,2.449,1,1,1
sex,3.89,1.35,1,1
sexy,3.185,1.95,1.9,2
shake,3.306,1.25,1,1
shallow,2.48,2,1.45,2
shame,3.326,1.45,1,1
shampoo,2.334,3,2,2
shape,3.188,1.6,1.15,1
shark,2.884,1.5,1.4,1
sharp,3.084,1.8,1.75,1
shave,2.847,1.25,1.15,1
she,5.28,1.6,1,1
sheep,2.836,1.6,1,1
sheets,2.804,1.9,1.45,1
shell,2.829,1.55,1,1
shine,3.023,1.4,1,1
ship,3.703,1.45,1,1
shirt,3.374,1.7,1.5,1
shock,3.167,1.55,1,1
shoe,3.191,1.4,1,1
shoelace,1.591,3,2.85,2
shoes,3.578,1.65,1,1
shoot,3.925,1.6,1.2,1
shop,3.437,1.4,1.1,1
shopping,3.185,1.65,1.55,2
short,3.64,1.45,1.5,1
shot,4.064,1.2,1,1
shove,2.829,1.65,1.6,1
shovel,2.544,1.85,1.8,2
show,4.396,1.25,1,1
shower,3.322,1.8,1.25,1
shy,2.972,1.5,1,1
sick,3.926,1.15,1,1
sight,3.364,1.45,1,1
sign,3.832,1.85,1,1
silk,2.699,1.5,1.4,1
silly,3.464,1.55,1.1,2
similar,2.843,2.7,2.55,3
simple,3.659,1.6,1.65,2
sing,3.697,1,1,1
sink,2.937,1.05,1,1
sister,3.964,1.8,1.7,2
sit,4.201,1,1,1
situation,3.624,2.65,3.8,4
six,4.008,1.45,1,1
ski,2.617,1.65,1.7,1
skill,2.607,1.6,1.15,1
skin,3.352,1.35,1.2,1
skinny,2.854,2.15,1.9,2
sky,3.359,1.65,1.5,1
slave,2.974,1.5,1.5,1
sleep,4.065,1.5,1.2,1
slide,2.959,1.65,1.15,1
slip,3.121,1.3,1.05,1
slippery,2.354,2.35,2,3
slow,3.589,1.25,1,1
slut,2.763,1.55,1.4,1
sly,2.137,1.55,1,1
small,3.804,1.8,1.75,1
smart,3.691,1.9,1.9,1
smash,2.625,1.75,1.7,1
smell,3.627,1.6,1.5,1
smile,3.471,1.75,1.75,1
smoke,3.523,1.65,1.55,1
smooth,2.97,1.95,1.85,1
smudge,1.716,2.2,1.9,1
snail,1.959,1.8,1.65,1
snake,3.057,1.6,1.4,1
sneeze,2.179,2.4,1.5,1
snob,2.049,1.65,1.6,1
snow,3.204,1.5,1.45,1
soap,2.89,1.5,1,1
society,3.225,2.65,2.7,3
socket,1.919,1.7,1.6,2
soda,3.006,1.8,1.8,2
soft,3.213,1.65,1.5,1
something,4.884,2.95,1.95,2
son,4.321,1,1,1
song,3.679,1.45,1.1,1
soprano,2.134,2.85,2.85,3
sorority,1.987,3,3.15,4
sorrow,2.545,2.1,1.85,2
sorry,4.775,1.95,1.75,2
sound,3.864,1.6,1.4,1
soup,3.109,1.7,1,1
sour,2.474,1.3,1.35,1
south,3.517,1.85,1.9,1
space,3.528,1.6,1.7,1
spaghetti,2.481,4.6,3.55,3
span,2.009,1.2,1.3,1
Spanish,3.054,2.6,1.95,2
speak,3.98,1.7,1.3,1
specific,2.959,3.1,3.35,3
speech,3.288,2.3,1.95,1
speed,3.323,1.65,1.55,1
spice,2.433,1.5,1.35,1
spider,2.713,1.95,1.8,2
spill,2.636,1.55,1.3,1
spinach,2.117,2.9,2.75,2
spine,2.468,1.4,1.2,1
spit,2.995,1.5,1.3,1
spoiled,2.636,1.9,1.8,1
spoon,2.59,1.75,1.45,1
sport,3.007,1.5,1.65,1
sports,3.149,1.65,1.8,1
spot,3.497,1.45,1.45,1
spread,3.203,1.95,1.85,1
spring,3.204,1.55,1.45,1
square,3.21,1.85,1.8,1
squirrel,2.447,2.85,3.35,2
stack,2.494,1.3,1,1
staff,3.213,1.85,1.45,1
stage,3.366,1.45,1.75,1
stain,2.501,1.55,1,1
stair,1.845,1.75,1.25,1
stairs,3.084,1.8,1.55,1
stamp,2.481,1.7,1.7,1
staple,1.763,1.8,1.85,2
star,3.618,1.2,1.25,1
stare,2.707,1.1,1.25,1
start,4.239,1.55,1.45,1
state,3.74,1.35,1.1,1
states,3.441,1.55,1.7,1
station,3.606,1.95,1.9,2
stay,4.42,1.35,1.1,1
steak,2.919,1.65,1,1
steal,3.435,1.65,1.25,1
steel,2.974,1.7,1.25,1
stick,3.695,1.5,1,1
sticky,2.467,1.8,1.7,2
stiff,2.719,1.75,1.55,1
still,4.604,1.55,1.05,1
sting,2.555,1.5,1.1,1
stomach,3.237,2.9,2.15,2
stone,3.317,1.45,1.15,1
stop,4.557,1.5,1.3,1
storage,2.656,2.55,2.5,2
store,3.621,1.15,1.1,1
storm,3.197,1.75,1.55,1
story,4.052,1.7,1.55,2
stove,2.589,1.55,1.55,1
straight,3.796,2.85,1.5,1
strange,3.644,1.85,1.9,1
strap,2.422,1.7,1.7,1
straw,2.504,1.8,1.8,1
strawberry,2.452,4.35,3.75,3
stream,2.614,1.8,1.65,1
street,3.878,1.95,1.6,1
strength,3.275,2.85,2.35,1
stress,2.901,1.95,1.9,1
strict,2.555,2,1.8,1
string,2.811,1.6,1.25,1
stripe,1.875,1.55,1.55,1
strong,3.647,1.85,1.8,1
student,3.342,2.75,2.85,2
study,3.398,1.85,1.7,2
stupid,3.973,2.45,2.15,2
style,3.186,1.8,1.6,1
subject,3.276,2.6,3.6,2
submarine,2.56,3.15,4.45,3
subtract,1.462,3.05,2.85,2
succeed,2.684,2.75,2.4,2
success,3.143,2.6,2.55,2
suffocate,1.892,3.6,2.9,3
sugar,3.285,1.95,1.9,2
summary,1.935,2.75,2.25,3
summer,3.603,1.8,1.55,2
sun,3.551,1,1,1
sunset,2.722,2.05,2.75,2
superior,2.822,2.85,2.9,3
superman,2.795,2.95,4,3
supper,2.995,1.85,1.65,2
surgery,3.218,2.35,3.1,3
swallow,2.813,2.1,1.85,2
swamp,2.662,1.65,1.7,1
swear,3.653,1.65,1.3,1
sweat,3.048,1.7,1.55,1
sweet,3.87,1.6,1.5,1
swing,3.123,1.35,1.1,1
sword,3.126,1.8,1,1
sympathetic,2.29,4,4.35,4
sympathy,2.63,3.5,2.6,3
syrup,2.417,2.35,1.9,2
system,3.669,2.7,1.9,2
table,3.731,1.55,1.5,2
tag,2.851,1,1,1
tail,3.086,1.2,1,1
take,4.984,1.1,1,1
talk,4.639,1.45,1,1
talking,4.405,1.75,1.55,2
tall,3.217,1.1,1,1
tan,2.643,1,1,1
tantrum,1.663,2.95,2.85,2
tape,3.546,1.25,1.25,1
tart,2.09,1.2,1.25,1
taste,3.418,1.6,1,1
tasty,2.509,1.75,1.75,2
tax,2.871,1.25,1,1
taxi,3.12,1.85,1.65,2
tea,3.476,1.4,1,1
teach,3.57,1.7,1.5,1
teacher,3.454,1.9,1.85,2
team,3.877,1.35,1,1
tear,3.139,1,1,1
tears,3.057,1.35,1.05,1
teeth,3.388,1.9,1.3,1
telephone,3.218,3.25,3.25,3
television,3.238,3.7,4.55,4
tell,4.944,1.3,1,1
temperature,2.847,3.95,3.9,3
temple,2.952,1.95,1.95,2
ten,3.869,1,1,1
tennis,2.843,2.3,1.75,2
tense,2.719,1.65,1.15,1
tent,2.951,1,1,1
terrible,3.681,2.85,2.3,3
test,3.632,1.25,1,1
thanks,4.502,1.85,1.65,1
thaw,1.914,1.75,1.4,1
then,4.881,1.5,1.2,1
theory,3.164,2.3,2.4,2
there,5.346,1.75,1,1
thief,3.093,1.95,1.65,1
thin,3.013,1.5,1.15,1
thing,4.745,1.7,1.25,1
think,5.138,1.7,1.15,1
thirst,2.281,2.3,1.65,1
thirsty,2.798,2.65,2.25,2
thought,4.615,2.1,1.2,1
thousand,3.548,3.25,2.7,2
thread,2.422,1.85,1.5,1
three,4.442,1.8,1.5,1
throw,3.818,1.8,1.25,1
thumb,2.781,1.9,1.15,1
thunder,2.833,2.05,1.75,2
Thursday,3.091,3.75,2.9,2
ticket,3.366,1.7,1.8,2
tie,3.356,1.05,1,1
tiger,2.976,1.7,1.55,2
tight,3.415,1.65,1,1
tighten,2.167,2.1,1.75,2
tile,2.037,1.1,1,1
time,5,1.25,1,1
tire,2.801,1.25,1,1
tired,3.759,1.45,1.3,1
tissue,2.739,2.35,1.85,2
title,2.977,1.8,1.55,2
toast,3.232,1.85,1.4,1
toe,2.812,1,1,1
toes,2.805,1.35,1,1
together,4.291,3,2.95,3
tomato,2.48,2.7,2.75,3
tongue,3.201,2.2,1.15,1
tonic,2.292,1.7,1.7,2
tool,2.74,1.45,1,1
toothbrush,2.408,4.85,4.3,2
toothpaste,2.207,4.45,3.8,2
top,3.833,1,1,1
tornado,2.117,2.85,3.4,3
touch,3.877,1.7,1.6,1
towel,2.859,1.65,1.75,1
town,4.102,1.6,1.55,1
toy,2.934,1.05,1.2,1
trade,3.254,1.7,1.15,1
trailer,2.763,1.8,1.6,2
train,3.686,1.55,1.05,1
trait,1.748,1.75,1.05,1
trash,3.06,1.7,1.5,1
treat,3.423,1.7,1.45,1
tree,3.521,1.65,1.25,1
trees,3.195,1.75,1.25,1
trick,3.382,1.5,1,1
trip,3.624,1.45,1.1,1
trophy,2.587,2.6,1.95,2
trouble,4.057,2.5,1.75,2
truth,3.991,1.9,1.7,1
try,4.386,1.5,1.05,1
Tuesday,3.082,3.3,2.6,2
tumble,1.903,1.5,1.6,2
turn,4.194,1.6,1.2,1
turtle,2.939,1.9,1.7,2
twelve,2.983,2.8,2,1
two,4.736,1.8,1,1
ugly,3.333,2,1.95,2
uncle,3.801,1.95,1.9,2
unclear,1.881,2.6,2.8,2
uncommon,2.045,3.7,2.9,3
under,4.126,1.9,1.6,2
understand,4.391,2.65,2.75,3
unfair,2.702,2.65,2.3,2
unknown,2.889,3.05,2.5,2
unusual,3.083,2.95,3.65,3
up,5.272,1.75,1.55,1
upstairs,3.557,3.4,3.6,2
vacation,3.224,2.25,2.65,3
valuable,2.901,2.7,2.6,3
value,3.041,1.75,2.15,2
values,2.636,1.85,2.5,2
vanish,2.215,1.85,1.9,2
vault,2.789,1.9,1.65,1
vegetable,2.465,2.9,3.55,3
vegetables,2.53,3.65,4.25,3
vein,2.265,1.8,1,1
verb,1.74,1.8,1.75,1
view,3.294,1.8,1.3,1
vine,2.033,1.25,1,1
violin,2.386,2.65,2.3,2
virgin,2.983,2.5,2.45,2
virtue,2.422,2.75,2.45,2
vision,3.086,2,1.95,2
volcano,2.233,2.95,3.7,3
vomit,2.436,2.35,1.95,2
wagon,2.958,1.95,1.95,2
wait,4.627,1.3,1,1
waiter,2.829,1.7,1.35,2
walk,4.042,1.7,1.25,1
wall,3.557,1.2,1,1
wander,2.477,1.55,1.55,2
want,5.148,1.3,1.55,1
war,3.95,1,1,1
warm,3.425,1.3,1.2,1
wash,3.318,1.25,1.45,1
washer,2.021,1.85,1.95,2
Washington,3.331,4,3.8,3
watch,4.226,1.6,1.65,1
water,4.06,1.5,1.55,2
way,4.861,1,1,1
weak,3.206,1.6,1,1
wear,3.746,1.05,1,1
weather,3.242,1.8,1.5,2
weave,2.025,1.75,1.2,1
web,2.673,1.7,1.7,1
wedding,3.714,1.8,1.2,2
Wednesday,2.97,4.25,2.9,2
weekend,3.494,2.6,2.55,2
weight,3.267,1.65,1,1
weird,3.712,1.85,1,1
welcome,3.961,2.7,2.3,2
west,3.49,1.3,1.05,1
wet,3.301,1,1,1
whale,2.76,1.75,1.7,1
what,5.701,1.7,1.85,1
wheat,2.468,1.8,1.6,1
wheelchair,2.501,5,4.75,2
when,5.016,1.75,1.7,1
where,4.97,1.8,1.6,1
whine,1.924,1.65,1.65,1
white,3.942,1.75,1.65,1
who,5.054,1.8,1,1
whole,4.294,1.7,1,1
why,5.059,1.7,1.65,1
wide,3.085,1.25,1,1
wife,4.25,1.55,1.5,1
wild,3.466,1.55,1.5,1
willing,3.4,1.7,1.4,2
win,3.837,1.05,1,1
wind,3.481,1.25,1.3,1
window,3.642,2.2,1.85,2
wine,3.488,1,1,1
winner,3.202,1.65,1.5,2
winter,3.127,1.65,1.3,2
wire,3.147,1.05,1,1
wolf,3.015,1.9,1.85,1
woman,4.346,1.9,1.85,2
women,3.999,1.85,2,2
wonder,3.776,1.7,1.6,2
wood,3.139,1.45,1.35,1
wool,2.209,1.65,1.35,1
words,3.794,1.45,1.65,1
work,4.61,1.5,1.2,1
worker,2.747,1.8,1.95,2
workout,2.152,2.6,2.85,2
world,4.366,1.85,1.6,1
worm,2.713,1.45,1.45,1
worry,4.165,1.85,1.6,2
worst,3.459,1.9,1.55,1
wound,3.132,1.55,1.55,1
write,3.811,1.55,1,1
writer,3.079,1.8,1.35,2
writing,3.455,1.8,1.3,2
wrong,4.426,1.85,1.15,1
yard,3.107,1.65,1.45,1
year,4.152,1.2,1,1
yell,2.973,1.55,1,1
yellow,3.237,1.85,1.65,2
yes,5.008,1.7,1.55,1
you,6.329,1.85,1,1
young,4.093,2,1.7,1
yours,4.019,1.65,1.6,1
zero,3.039,1.85,1.8,2
zone,3.012,1.4,1.1,1
zoo,2.843,1.6,1,1
