Word,LgSUBTLWF,OLD,PLD,NSyll
bucket,2.709,1.85,1.85,2
buffalo,2.784,3.1,2.75,3
bug,3.029,1.05,1,1
build,3.39,1.85,1,1
builder,1.69,2.15,1.8,2
building,3.706,2.2,1.85,2
bum,2.897,1.35,1,1
bump,2.8,1.45,1.45,1
bush,2.858,1.3,1.6,1
business,4.214,2.6,2.7,2
busy,3.735,1.65,1.7,2
butter,3.018,1.3,1,2
butterfly,2.45,3.25,4.2,3
cab,3.262,1.1,1,1
cabbage,2.173,2.85,2.55,2
cabin,3.001,1.9,1.95,2
cabinet,2.629,2.5,2.9,3
cactus,2.173,2.55,2,2
cake,3.361,1,1,1
calculate,2.029,2.75,3.5,3
call,4.643,1.25,1,1
calm,3.657,1.75,1,1
camera,3.464,2.1,1.95,2
camp,3.417,1.2,1.3,1
can,5.428,1,1,1
can't,#,#,#,1
cancer,3.057,1.7,1.7,2
candle,2.613,1.9,1.5,2
candy,3.261,1.65,1.1,2
cans,2.593,1.35,1.2,1
capability,1.851,3.3,3.3,5
car,4.392,1,1,1
card,3.639,1.15,1,1
cards,3.389,1.55,1.6,1
care,4.394,1,1,1
careful,3.744,2.55,2.6,2
caring,2.556,1.65,1.55,2
carpet,2.775,1.9,1.95,2
carrot,2.292,1.9,1.65,2
carry,3.527,1.65,1.15,2
cars,3.367,1,1.15,1
cash,3.568,1.25,1,1
castle,3.041,1.85,1.5,2
cat,3.529,1,1,1
Catholic,2.804,3.4,2.65,2
cats,3.003,1.15,1.4,1
cause,4.199,1.75,1,1
cautious,2.236,2.45,1.9,2
cave,2.854,1,1,1
cell,3.443,1.35,1,1
center,3.369,1.85,1.05,2
cereal,2.512,2.05,1.8,2
ceremony,2.907,3.55,3.5,4
chain,3.035,1.8,1.7,1
chair,3.4,1.7,1.5,1
chalk,2.265,1.95,1.45,1
chance,4.09,1.75,1.7,1
change,4.088,1.8,2.35,1
chaos,2.681,1.95,1.85,2
cheap,3.267,1.8,1.6,1
cheat,2.955,1.7,1.45,1
check,4.153,1.7,1.4,1
cheese,3.299,2,1.5,1
