"Trial","task_condition","RT","LinguisticSimilarity","VisualSimilarity_VGGF_L7","LgSUBTLWF.prime","LgSUBTLWF.target","Length.prime","Length.target","OLD.prime","OLD.target","PLD.prime","PLD.target","NSyll.prime","NSyll.target","LgSUBTLCD.prime","LgSUBTLCD.target"
"DRUNK_ALCOHOL","LDT_short",613,0.50399,0.79678,3.592,2.927,5,7,1.75,3.35,1.7,3.7,1,3,3.305,2.77
"CROCODILE_ALLIGATOR","LDT_short",617.8065,0.47349,0.97462,2.064,2.253,9,9,4,3.55,4,2.9,3,4,1.851,2.1
"ANTEATER_ANT","LDT_short",705.7813,0.36389,0.62553,1.079,2.438,8,3,2.95,1.2,3.4,1.2,3,1,1.079,2.049
"MONKEY_APE","LDT_short",669.9677,0.51137,0.90915,3.233,2.694,6,3,1.9,1.15,1.7,1.05,2,1,2.894,2.24
"SHOULDER_ARM","LDT_short",622.0938,0.6004,0.74496,3.126,3.523,8,3,2.45,1.45,1.6,1.55,2,1,2.99,3.289
"OCTOPUS_ARMS","LDT_short",628.6774,0.22599,0.64364,2,3.484,7,4,3,1.55,3,1.7,3,1,1.813,3.275
"BOW_ARROW","LDT_short",618.375,0.545,0.7842,3.015,2.603,3,5,1,1.7,1,1.1,1,2,2.785,2.297
"SCULPTURE_ART","LDT_short",666.0968,0.5408,0.75022,2.204,3.558,9,3,2.6,1.1,2.65,1.3,2,1,2.017,3.205
"ASH_ASHTRAY","LDT_short",848.2258,0.39153,0.55036,2.672,2.223,3,7,1.15,2.7,1,2.95,1,2,2.158,2.072
"DONKEY_ASS","LDT_short",610.5625,0.3375,0.99393,2.438,4.062,6,3,2.3,1.45,1.95,1,2,1,2.212,3.529
"HELPER_ASSISTANT","LDT_short",674.4375,0.27202,0.99449,2.017,3.216,6,9,1.9,3.2,1.95,2.8,2,3,1.887,2.99
"BASEMENT_ATTIC","LDT_short",641.3438,0.56095,0.94065,3.031,2.603,8,5,2.35,2.05,2.2,1.8,2,2,2.833,2.377
"HATCHET_AX","LDT_short",836.9375,0.24839,0.98802,2.004,2.346,7,2,1.95,1.25,1.95,1,2,1,1.857,2.201
"RETREAT_BACK","LDT_short",700.3548,0.3142,0.60383,2.686,5.011,7,4,2.3,1,2.2,1,2,1,2.471,3.918
"SACK_BAG","LDT_short",607.1613,0.5071,0.79519,2.82,3.681,4,3,1,1,1,1,1,1,2.703,3.4
"SALOON_BAR","LDT_short",616.2813,0.37132,0.64512,2.42,3.642,6,3,1.85,1,1.85,1,2,1,2.158,3.346
"FOUNDATION_BASE","LDT_short",658.2258,0.15109,0.77586,2.87,3.256,10,4,3.35,1,3.7,1,3,1,2.574,3.005
"WICKER_BASKET","LDT_short",608.1875,0.42363,0.78996,1.69,2.828,6,6,1.65,1.75,1.3,1.7,2,2,1.322,2.632
"BALL_BAT","LDT_short",665.0938,0.37555,0.8969,3.729,3.022,4,3,1,1,1,1,1,1,3.316,2.75
"ROBE_BATH","LDT_short",631.9091,0.35471,0.73417,2.638,3.201,4,4,1.3,1.2,1,1,1,1,2.446,2.998
"TOILET_BATHROOM","LDT_short",588.7879,0.66941,0.93192,3.169,3.498,6,8,1.9,3,2.15,2.7,2,2,2.98,3.264
"COAST_BEACH","LDT_short",790.2813,0.46938,0.97895,3.134,3.461,5,5,1.65,1.45,1.15,1.15,1,1,2.901,3.111
"LASER_BEAM","LDT_short",749.0938,0.54526,0.62006,2.638,2.649,5,4,1.75,1.5,1.6,1,2,1,2.352,2.367
"CUB_BEAR","LDT_short",695.3438,0.3685,0.88289,2.033,3.467,3,4,1.1,1,1.1,1,1,1,1.839,3.176
"BEAUTY_BEAST","LDT_short",662.3548,0.40094,0.74493,3.391,3.098,6,5,2.15,1.4,1.85,1.1,2,1,3.178,2.743
"LOFT_BED","LDT_short",639.4375,0.26979,0.88019,2.272,3.98,4,3,1.55,1,1.45,1,1,1,2.021,3.614
"ROOM_BEDROOM","LDT_short",635.875,0.55409,0.97801,4.351,3.272,4,7,1.4,2.65,1,2.6,1,2,3.796,3.102
"MUG_BEER","LDT_short",693.7576,0.38713,0.85414,2.544,3.586,3,4,1.3,1.3,1,1,1,1,2.417,3.257
"NOVICE_BEGINNER","LDT_short",740.3636,0.588,0.90783,1.623,2,6,8,2.2,2.9,2,2.65,2,3,1.58,1.919
"CHIME_BELL","LDT_short",599.1563,0.38198,0.835,1.681,3.303,5,4,1.65,1.15,1.75,1,1,1,1.591,3.015
"SASH_BELT","LDT_short",637.9394,0.26314,0.63774,1.771,3.095,4,4,1.25,1.3,1,1,1,1,1.591,2.924
"FAVORITE_BEST","LDT_short",616.1818,0.48128,0.95497,3.482,4.314,8,4,2.95,1,2.45,1,3,1,3.296,3.824
