"Trial","task_condition","RT","LinguisticSimilarity","VisualSimilarity_VGGF_L7","LgSUBTLWF.prime","LgSUBTLWF.target","Length.prime","Length.target","OLD.prime","OLD.target","PLD.prime","PLD.target","NSyll.prime","NSyll.target","LgSUBTLCD.prime","LgSUBTLCD.target"
"TRICYCLE_BICYCLE","LDT_short",596.871,0.48249,0.94319,1.447,2.529,8,7,3.2,2.75,3,2.65,3,3,1.255,2.38
"PEDAL_BIKE","LDT_short",530.5313,0.46308,0.89147,2.021,3.121,5,4,1.75,1.5,1.2,1,2,1,1.935,2.76
"DRILL_BIT","LDT_short",626.8065,0.19849,0.85592,2.846,4.079,5,3,1.8,1,1.45,1,1,1,2.669,3.706
"BIT_BITE","LDT_short",771.3548,0.32302,0.72635,4.079,3.318,3,4,1,1.35,1,1,1,1,3.706,3.176
"WHITE_BLACK","LDT_short",553.2188,0.77594,0.94464,3.942,3.933,5,5,1.75,1.65,1.65,1.35,1,1,3.526,3.504
"QUILT_BLANKET","LDT_short",589.0313,0.36156,0.96856,1.602,2.821,5,7,1.7,2.25,1.75,2.35,1,2,1.544,2.682
"SAPPHIRE_BLUE","LDT_short",543.871,0.30039,0.90894,1.792,3.718,8,4,3.4,1.75,2.4,1.3,2,1,1.415,3.396
"HULL_BOAT","LDT_short",641.1875,0.26315,0.58894,2.334,3.689,4,4,1.25,1.25,1,1,1,1,2.061,3.164
"HIP_BONE","LDT_short",624.7188,0.40722,0.6982,2.896,3.124,3,4,1.05,1.1,1,1,1,1,2.704,2.933
"MAGAZINE_BOOK","LDT_short",663.9032,0.33934,0.8806,3.229,3.955,8,4,2.95,1.2,3.7,1,3,1,2.933,3.511
"WHISKEY_BOOZE","LDT_short",661.5938,0.44379,0.98823,2.915,2.747,7,5,2.45,1.9,2.15,1,2,1,2.643,2.627
"SECRETARY_BOSS","LDT_short",610.25,0.33525,0.66968,3.229,3.802,9,4,3.3,1.5,3.4,1.15,4,1,2.894,3.368
"CARTON_BOX","LDT_short",672.0625,0.39031,0.95343,1.987,3.661,6,3,1.85,1.4,1.75,1.05,2,1,1.914,3.372
"FIGHTER_BOXER","LDT_short",639.7188,0.50589,0.57965,2.815,2.295,7,5,1.95,1.75,1.2,1.95,2,2,2.566,2.057
"GIRL_BOY","LDT_short",648.4242,0.70083,0.95042,4.454,4.432,4,3,1.85,1,1.6,1.2,1,1,3.788,3.788
"UNDERWEAR_BRA","LDT_short",664.8485,0.52474,0.97341,3.044,2.747,9,3,3.1,1.6,3.4,1.7,3,1,2.878,2.51
"CEREAL_BREAKFAST","LDT_short",698.697,0.42471,0.66072,2.512,3.529,6,9,2.05,3.3,1.8,3.2,2,2,2.35,3.294
"BLOCK_BRICK","LDT_short",857.1563,0.33778,0.66833,3.316,2.716,5,5,1.65,1.6,1.3,1.15,1,1,3.12,2.408
"GROOM_BRIDE","LDT_short",615.8438,0.72902,0.97318,2.602,3.092,5,5,1.8,1.55,1.45,1.2,1,1,2.4,2.805
"CAULIFLOWER_BROCCOLI","LDT_short",730.2188,0.49005,0.92059,1.462,2.068,11,8,4.7,3.85,4.5,2.8,3,3,1.38,1.839
"SISTER_BROTHER","LDT_short",584.6667,0.78586,0.97712,3.964,4.161,6,7,1.8,1.9,1.7,1.9,2,2,3.484,3.579
"BISON_BUFFALO","LDT_short",673.5,0.36967,0.99754,1.255,2.784,5,7,2,3.1,1.95,2.75,2,3,1.041,2.405
"CRICKET_BUG","LDT_short",658.9688,0.16181,0.94846,2.161,3.029,7,3,1.95,1.05,1.95,1,2,1,1.978,2.766
"PEANUT_BUTTER","LDT_short",672.5625,0.48162,0.86368,2.8,3.018,6,6,2.6,1.3,2.75,1,2,2,2.56,2.828
"TAXI_CAB","LDT_short",640.7188,0.78669,0.9186,3.12,3.262,4,3,1.85,1.1,1.65,1,2,1,2.824,2.983
"COLESLAW_CABBAGE","LDT_short",707.375,0.4502,0.77262,1.806,2.173,8,7,3.85,2.85,2.95,2.55,2,2,1.568,2.041
"LODGE_CABIN","LDT_short",585.7576,0.31554,0.85583,2.534,3.001,5,5,1.75,1.9,1.7,1.95,1,2,2.258,2.663
"FILE_CABINET","LDT_short",624.625,0.20928,0.93512,3.352,2.629,4,7,1.15,2.5,1,2.9,1,3,3.107,2.495
"PHONE_CALL","LDT_short",574.0313,0.66132,0.7751,4.138,4.643,5,4,1.65,1.25,1,1,1,1,3.654,3.878
"TOURIST_CAMERA","LDT_short",751.5938,0.14521,0.73713,2.377,3.464,7,6,2.55,2.1,1.85,1.95,2,2,2.274,3.142
"TENT_CAMP","LDT_short",595.7419,0.47877,0.74055,2.951,3.417,4,4,1,1.2,1,1.3,1,1,2.649,3.039
"OPENER_CAN","LDT_short",624.4848,0.20089,0.72836,2.24,5.428,6,3,2.5,1,2.65,1,3,1,2.017,3.922
"WICK_CANDLE","LDT_short",632.875,0.31639,0.97883,2.111,2.613,4,6,1.5,1.9,1,1.5,1,2,1.58,2.465
"CHOCOLATE_CANDY","LDT_short",551.25,0.58441,0.86645,3.176,3.261,9,5,3.55,1.65,2.9,1.1,2,2,2.948,2.956
"VALVE_CAR","LDT_short",640.3226,0.18043,0.71146,2.394,4.392,5,3,1.7,1,1.8,1,1,1,2.143,3.712
"CELERY_CARROT","LDT_short",632.5938,0.47311,0.91099,1.982,2.292,6,6,2.45,1.9,1.95,1.65,3,2,1.806,2.093
"CLAW_CAT","LDT_short",642.5313,0.3059,0.66329,2.35,3.529,4,3,1.55,1,1.45,1,1,1,2.14,3.142
"CAVERN_CAVE","LDT_short",552,0.60449,0.97907,1.756,2.854,6,4,1.9,1,2.05,1,2,1,1.518,2.563
"SICKLE_CELL","LDT_short",667.6364,0.27666,0.74172,1.462,3.443,6,4,1.75,1.35,1.5,1,2,1,1.255,3.164
"FIBER_CEREAL","LDT_short",708.125,0.26658,0.75718,2.196,2.512,5,6,1.85,2.05,1.8,1.8,2,2,2.075,2.35
"LINK_CHAIN","LDT_short",637.1875,0.31259,0.52672,2.785,3.035,4,5,1.2,1.8,1.05,1.7,1,1,2.602,2.869
"BLACKBOARD_CHALK","LDT_short",678.9677,0.35937,0.7713,1.785,2.265,10,5,3.35,1.95,2.9,1.45,2,1,1.663,2.158
"ROOST_CHICKEN","LDT_short",582.4063,0.25536,0.79068,1.663,3.498,5,7,1.85,2.15,1.4,1.95,1,2,1.518,3.196
"KID_CHILD","LDT_short",598.5625,0.57228,0.7681,4.238,3.905,3,5,1.4,1.85,1,1.85,1,1,3.665,3.487
"JAPAN_CHINA","LDT_short",657.875,0.52511,0.91345,2.899,3.103,5,5,2.4,1.9,2.9,1.95,2,2,2.533,2.801
"DIP_CHIP","LDT_short",639.4516,0.22388,0.69766,2.61,3.022,3,4,1.2,1.35,1,1.2,1,1,2.502,2.691
"PUDDING_CHOCOLATE","LDT_short",636.6452,0.42407,0.94638,2.498,3.176,7,9,1.85,3.55,1.55,2.9,2,2,2.303,2.948
"TEMPLE_CHURCH","LDT_short",548.5938,0.26551,0.96483,2.952,3.551,6,6,1.95,2.4,1.95,2.2,2,1,2.613,3.127
"OYSTER_CLAM","LDT_short",678.1563,0.43307,0.95685,2.196,2.303,6,4,1.9,1.45,1.85,1.15,2,1,2.017,2.201
"SUBJECT_CLASS","LDT_short",646.1935,0.22167,0.89874,3.276,3.777,7,5,2.6,1.5,3.6,1.2,2,1,3.134,3.389
"POTTERY_CLAY","LDT_short",656.3438,0.43313,0.7739,1.978,2.788,7,4,1.85,1.55,2.35,1.55,3,1,1.792,2.334
"VACUUM_CLEANER","LDT_short",610.4545,0.5389,0.7892,2.47,2.549,6,7,2.9,1.8,2.6,1.9,2,2,2.32,2.447
"LEDGE_CLIFF","LDT_short",841.25,0.48309,0.94202,2.255,3.042,5,5,1.6,1.95,1.5,1.65,1,1,2.041,2.582
"RAG_CLOTH","LDT_short",644.8125,0.32217,0.77098,2.389,2.494,3,5,1,1.85,1,1.65,1,1,2.267,2.375
"ATTIRE_CLOTHES","LDT_short",580.8438,0.47286,0.97374,1.887,3.713,6,7,2.4,2.35,1.85,1.15,2,1,1.799,3.446
"RUM_COKE","LDT_short",611.5313,0.46874,0.92391,2.583,2.977,3,4,1.3,1.3,1,1,1,1,2.312,2.683
"LAPEL_COLLAR","LDT_short",738.9091,0.36359,0.65624,1.415,2.73,5,6,1.9,1.85,2.35,1.25,2,2,1.398,2.594
"DISC_COMPACT","LDT_short",676.375,0.30732,0.88213,2.121,1.94,4,7,1.8,2.45,1.65,2.65,1,2,1.892,1.851
"SYSTEM_COMPUTER","LDT_short",613.375,0.38356,0.95424,3.669,3.479,6,8,2.7,2.1,1.9,2.65,2,3,3.35,3.088
"REEF_CORAL","LDT_short",671.5938,0.63384,0.95197,2.312,2.086,4,5,1.7,1.75,1,1.55,1,2,1.903,1.763
"FLAKE_CORN","LDT_short",656.625,0.19257,0.75889,1.954,2.861,5,4,1.55,1.2,1.35,1,1,1,1.839,2.606
"POLYESTER_COTTON","LDT_short",640.129,0.37743,0.82617,1.806,2.86,9,6,3.15,2,4.35,1.8,4,2,1.69,2.539
"CUSHION_COUCH","LDT_short",597.5161,0.43086,0.70713,2.045,3.079,7,5,2.75,1.6,1.9,1.75,2,1,1.996,2.899
"CASE_COURT","LDT_short",608.7419,0.46091,0.66344,4.159,3.711,4,5,1,1.85,1,1,1,1,3.689,3.265
"LID_COVER","LDT_short",659.4063,0.22775,0.75804,2.401,3.682,3,5,1.15,1.25,1,1.65,1,2,2.342,3.445
"BEEF_COW","LDT_short",678.1875,0.3775,0.98589,3.003,3.115,4,3,1.6,1,1,1,1,1,2.809,2.863
"LOBSTER_CRAB","LDT_short",626.0625,0.65424,0.94157,2.574,2.548,7,4,1.95,1.55,2.45,1.3,2,1,2.305,2.276
"SNAP_CRACKLE","LDT_short",697.4242,0.36003,0.76262,2.948,1.556,4,7,1.65,1.85,1.5,1.85,1,2,2.818,1.255
"SAUCER_CUP","LDT_short",568.2188,0.40317,0.72801,2.149,3.421,6,3,1.8,1.4,1.85,1.05,2,1,1.863,3.195
"CLOAK_DAGGER","LDT_short",765.5455,0.50064,0.64304,2.188,2.401,5,6,1.9,1.9,1.35,1.9,1,2,1.968,2.041
"BEAVER_DAM","LDT_short",868.6061,0.24056,0.70407,2.393,2.468,6,3,1.75,1,1.8,1,2,1,2.107,2.097
"SINGER_DANCER","LDT_short",604.9688,0.48483,0.92989,2.904,2.92,6,6,1.4,1.65,1.4,1.75,2,2,2.599,2.699
"OFFICE_DESK","LDT_short",675.125,0.60075,0.96203,4.017,3.35,6,4,2.5,1.8,2,1.75,2,1,3.599,3.148
"LUNCH_DINNER","LDT_short",633.8125,0.70732,0.98036,3.725,4.014,5,6,1.65,1.75,1.7,1.4,1,2,3.421,3.598
"CHINA_DISH","LDT_short",639.9375,0.14011,0.71129,3.103,2.767,5,4,1.9,1.7,1.95,1.25,2,1,2.801,2.647
"GULLY_DITCH","LDT_short",695.8387,0.34757,0.9427,1.681,2.604,5,5,1.7,1.65,1.25,1.5,2,1,1.415,2.49
"SCUBA_DIVE","LDT_short",592.7879,0.53356,0.77638,1.898,2.816,5,4,2,1.1,2.2,1.2,2,1,1.748,2.52
"DEER_DOE","LDT_short",791.8438,0.18257,0.9818,2.648,2.346,4,3,1.35,1,1,1,1,1,2.391,2.107
"PORCELAIN_DOLL","LDT_short",646.0909,0.36836,0.79898,1.909,3.102,9,4,4,1.35,3.85,1.25,3,1,1.839,2.812
"FLIPPER_DOLPHIN","LDT_short",752.8065,0.4359,0.69066,1.663,2.152,7,7,1.75,3.15,1.75,2.65,2,2,1.532,1.863
"PASTRY_DOUGHNUT","LDT_short",838.8387,0.38264,0.96942,1.996,2.334,6,8,1.85,3.45,2.35,2.9,2,2,1.881,2.212
"SKETCH_DRAW","LDT_short",607.7576,0.38158,0.53812,2.403,3.314,6,4,2.15,1.55,1.85,1.65,1,1,2.204,3.132
"FORMAL_DRESS","LDT_short",607.2903,0.32761,0.97434,2.628,3.648,6,5,1.9,1.75,1.9,1.65,2,1,2.558,3.34
"STEER_DRIVE","LDT_short",632.25,0.37426,0.50687,2.486,3.893,5,5,1.65,1.65,1,1.6,1,1,2.377,3.57
"SCREW_DRIVER","LDT_short",641.8065,0.20152,0.7268,3.282,3.383,5,6,1.75,1.6,1.65,1.8,1,2,3.127,3.146
"LOBE_EAR","LDT_short",670.75,0.38979,0.62828,1.982,3.213,4,3,1.5,1,1.15,1,1,1,1.845,3.044
"WORLD_EARTH","LDT_short",617.6774,0.48334,0.67606,4.366,3.705,5,5,1.85,1.85,1.6,1.4,1,1,3.792,3.369
"YOLK_EGG","LDT_short",562.8065,0.51506,0.93776,1.342,3.123,4,3,1.9,1.9,1.65,1.4,1,1,1.301,2.861
"SHOCK_ELECTRIC","LDT_short",711.7188,0.40897,0.67292,3.167,2.942,5,8,1.55,2.75,1,2.65,1,3,3.036,2.731
"EMPLOYEE_EMPLOYER","LDT_short",683.8788,0.70209,0.9832,2.772,2.439,8,8,2.55,2.45,2.2,2.6,3,2,2.634,2.316
"MASK_FACE","LDT_short",560.1613,0.4095,0.83537,3.005,4.169,4,4,1.45,1.2,1.35,1,1,1,2.682,3.749
"DROP_FALL","LDT_short",674.1563,0.47768,0.91636,3.824,3.781,4,4,1.75,1.3,1.65,1,1,1,3.55,3.522
"MOTHER_FATHER","LDT_short",611.9032,0.80924,0.98982,4.389,4.452,6,6,1.8,1.65,1.7,1.7,2,2,3.745,3.736
"GATE_FENCE","LDT_short",686.0313,0.43025,0.93306,3.213,2.914,4,5,1.05,1.75,1,1.5,1,1,2.956,2.743
"HAND_FINGER","LDT_short",614.2813,0.57092,0.76282,4.154,3.272,4,6,1.35,1.6,1.1,1.85,1,2,3.745,3.11
"TORCH_FIRE","LDT_short",591.303,0.34609,0.48077,2.406,4.041,5,4,1.9,1.1,1.9,1,1,1,2.295,3.596
"COD_FISH","LDT_short",647.7419,0.48565,0.81806,2.061,3.629,3,4,1,1.75,1,1.3,1,1,1.851,3.233
"RAFT_FLOAT","LDT_short",686.5161,0.39131,0.41281,2.382,2.582,4,5,1.4,1.75,1,1.3,1,1,2.121,2.49
"MOP_FLOOR","LDT_short",596.8125,0.36503,0.83801,2.326,3.71,3,5,1.3,1.85,1.1,1.45,1,1,2.182,3.437
"FLIP_FLOP","LDT_short",787.6875,0.47143,0.75806,2.863,2.075,4,4,1.6,1.5,1.4,1.45,1,1,2.689,1.964
"TULIP_FLOWER","LDT_short",552.129,0.36881,0.93253,1.613,3.065,5,6,2,1.65,1.95,1.7,2,1,1.431,2.799
"CLARINET_FLUTE","LDT_short",680.7188,0.5525,0.94348,1.909,2.037,8,5,2.95,1.75,3.65,1.4,3,1,1.568,1.857
"AIRPLANE_FLY","LDT_short",569.9091,0.53438,0.61079,2.747,3.637,8,3,2.7,1.75,2.75,1.25,2,1,2.55,3.326
"CREASE_FOLD","LDT_short",753.4688,0.31873,0.69956,1.845,2.644,6,4,1.75,1.35,1.35,1,1,1,1.633,2.506
"BINDER_FOLDER","LDT_short",674.3438,0.23235,0.80884,1.602,1.924,6,6,1.5,1.55,1.65,1.55,2,2,1.362,1.792
"TOE_FOOT","LDT_short",616.6563,0.49231,0.73075,2.812,3.52,3,4,1,1.4,1,1.45,1,1,2.588,3.313
"ARENA_FOOTBALL","LDT_short",656.7419,0.285,0.7046,2.269,3.282,5,8,1.9,2.85,1.9,2.7,3,2,2.068,2.907
"KNIFE_FORK","LDT_short",627.8438,0.47653,0.87615,3.378,2.654,5,4,2.15,1.45,1.5,1.15,1,1,3.099,2.501
"BANANA_FRUIT","LDT_short",701.8387,0.47336,0.70745,2.739,3.045,6,5,2.4,1.9,2.5,1.6,3,1,2.513,2.855
"PATIO_FURNITURE","LDT_short",676.8438,0.31268,0.78015,2.127,2.886,5,9,1.95,3.6,1.8,3.6,3,3,2.037,2.732
"GOOSE_GANDER","LDT_short",841.0303,0.44346,0.97837,2.824,1.748,5,6,1.85,1.7,1.3,1.6,1,2,2.576,1.732
"HOE_GARDEN","LDT_short",617.5161,0.20475,0.60994,1.681,3.132,3,6,1,1.85,1,1.75,1,2,1.462,2.925
"TONIC_GIN","LDT_short",699.0313,0.47354,0.94774,2.292,2.76,5,3,1.7,1.25,1.7,1.3,2,1,2.158,2.502
"GAL_GIRL","LDT_short",630,0.41639,0.97248,2.861,4.454,3,4,1.25,1.85,1,1.6,1,1,2.634,3.788
"WINDOW_GLASS","LDT_short",578.25,0.47945,0.72883,3.642,3.491,6,5,2.2,1.75,1.85,1.5,2,1,3.388,3.265
"LENS_GLASSES","LDT_short",641.9697,0.37989,0.82347,2.378,3.228,4,7,1.4,1.85,1.3,1.75,1,2,2.25,3.004
"CANYON_GRAND","LDT_short",709.5,0.3644,0.49685,2.622,3.507,6,5,2.05,1.65,1.85,1.4,2,1,2.346,3.208
"GRANDPA_GRANDMA","LDT_short",711.6452,0.78737,0.98895,3.221,3.367,7,7,2.65,2.65,2.95,3,2,2,2.748,2.932
"RAISIN_GRAPE","LDT_short",654.375,0.32635,0.88949,1.924,2.312,6,5,2.2,1.4,1.7,1.05,2,1,1.792,2.14
"HOLD_GRASP","LDT_short",688.25,0.29706,0.68501,4.348,2.369,4,5,1.3,1.85,1,1.65,1,1,3.81,2.308
"BEAN_GREEN","LDT_short",587.9375,0.22381,0.80815,2.544,3.568,4,5,1.1,1.75,1,1.3,1,1,2.344,3.281
"CHARCOAL_GRILL","LDT_short",691.129,0.36544,0.82982,1.959,2.358,8,5,3.65,1.8,3,1.3,2,1,1.833,2.26
"HOLE_GROUND","LDT_short",552.1563,0.36471,0.86423,3.473,3.568,4,6,1.15,1.8,1,1.5,1,1,3.244,3.355
"BANJO_GUITAR","LDT_short",702.0968,0.57038,0.89907,1.924,2.901,5,6,2.3,2.8,2.7,2.65,2,2,1.708,2.534
"BUBBLE_GUM","LDT_short",691.2813,0.29057,0.87251,2.612,2.835,6,3,1.7,1.3,1.5,1.05,2,1,2.467,2.646
"SPRAY_HAIR","LDT_short",589.4839,0.30966,0.69153,2.693,3.894,5,4,1.7,1.55,1.55,1,1,1,2.535,3.56
"CAP_HAT","LDT_short",676.6875,0.50017,0.91249,2.981,3.515,3,3,1,1,1,1,1,1,2.792,3.238
"MUST_HAVE","LDT_short",621.9375,0.63187,0.70343,4.552,5.497,4,4,1.2,1.2,1.25,1.1,1,1,3.855,3.922
"HAT_HEAD","LDT_short",653.4688,0.42578,0.49496,3.515,4.278,3,4,1,1.15,1,1,1,1,3.238,3.799
"STEEP_HILL","LDT_short",701.3438,0.43179,0.95317,2.1,3.282,5,4,1.6,1.05,1.35,1,1,1,2.041,2.964
"GRIP_HOLD","LDT_short",641.8438,0.38743,0.58502,2.695,4.348,4,4,1.55,1.3,1.2,1,1,1,2.602,3.81
"DITCH_HOLE","LDT_short",646.75,0.30789,0.80754,2.604,3.473,5,4,1.65,1.15,1.5,1,1,1,2.49,3.244
"BUGLE_HORN","LDT_short",734.871,0.36928,0.51792,1.949,3.032,5,4,1.85,1.5,2.5,1,2,1,1.699,2.769
"NYLON_HOSE","LDT_short",681.3939,0.32578,0.92989,1.845,2.615,5,4,2.35,1.1,2.55,1,2,1,1.763,2.471
"GENERAL_HOSPITAL","LDT_short",640.4688,0.27086,0.87869,3.77,3.802,7,8,2.2,3.15,2.6,3.15,2,3,3.201,3.417
"HOST_HOSTESS","LDT_short",746.5625,0.43722,0.93473,2.885,2.279,4,7,1.45,2.55,1.35,1.95,1,2,2.709,2.199
"SUITE_HOTEL","LDT_short",656.8387,0.51364,0.66639,2.929,3.721,5,5,1.6,1.85,1.5,2.45,1,2,2.646,3.306
"FOX_HOUND","LDT_short",728.2813,0.39003,0.66276,3.043,2.412,3,5,1.6,1.6,1.3,1.3,1,1,2.613,2.225
"DOLL_HOUSE","LDT_short",625.0313,0.39326,0.58161,3.102,4.418,4,5,1.35,1.6,1.25,1.65,1,1,2.812,3.781
"IGLOO_ICE","LDT_short",582.9091,0.27521,0.76366,1.204,3.608,5,3,2.75,1.45,1.95,1,2,1,1.176,3.296
"SUPERIOR_INFERIOR","LDT_short",640.4545,0.63989,0.97844,2.822,2.196,8,8,2.85,2.75,2.9,2.9,3,3,2.703,2.083
"TUBA_INSTRUMENT","LDT_short",731.8438,0.40596,0.87478,1.792,2.617,4,10,1.75,3.4,1.8,2.75,2,3,1.518,2.497
"VEST_JACKET","LDT_short",599.8125,0.55329,0.85335,2.455,3.232,4,6,1.35,1.85,1.15,2,1,2,2.31,2.988
"JAR_JELLY","LDT_short",597,0.41142,0.86026,2.628,2.561,3,5,1.2,1.7,1.45,1.45,1,2,2.474,2.382
"COURT_JUDGE","LDT_short",579.5,0.67464,0.74498,3.711,3.609,5,5,1.85,1.7,1,1.85,1,1,3.265,3.21
"LATCH_KEY","LDT_short",607.3438,0.35376,0.70701,1.996,3.647,5,3,1.65,1.8,1.5,1,1,1,1.869,3.336
"THRONE_KING","LDT_short",533.3333,0.57678,0.68637,2.645,3.819,6,4,1.9,1.5,1.5,1,1,1,2.367,3.228
"CABINET_KITCHEN","LDT_short",584.4848,0.30092,0.89975,2.629,3.474,7,7,2.5,2.4,2.9,2.15,3,2,2.495,3.259
"BLADE_KNIFE","LDT_short",594.8788,0.6135,0.92891,2.822,3.378,5,5,1.65,2.15,1.35,1.5,1,1,2.594,3.099
"BALCONY_LEDGE","LDT_short",595.4063,0.40657,0.62276,2.573,2.255,7,5,2.8,1.6,2.6,1.5,3,1,2.428,2.041
"CRUTCH_LEG","LDT_short",562.4839,0.39678,0.90236,1.833,3.46,6,3,1.85,1.35,1.8,1.2,1,1,1.732,3.201
"LIME_LEMON","LDT_short",626.871,0.48982,0.96087,2.228,2.788,4,5,1.2,1.85,1,1.7,1,2,2.093,2.538
"SALAD_LETTUCE","LDT_short",632.4688,0.56653,0.80895,2.939,2.24,5,7,1.95,2.9,1.85,1.8,2,2,2.769,2.093
"KEY_LOCK","LDT_short",612.1818,0.55544,0.7149,3.647,3.46,3,4,1.8,1.05,1,1,1,1,3.336,3.271
"WINNER_LOSER","LDT_short",551.1613,0.57376,0.92635,3.202,3.14,6,5,1.65,1.5,1.5,1.5,2,2,2.962,2.962
"BAGGAGE_LUGGAGE","LDT_short",663.9688,0.72998,0.95545,2.504,2.754,7,7,2.85,2.95,2.55,2.7,2,2,2.352,2.574
"COPIER_MACHINE","LDT_short",762.9677,0.35435,0.85251,1.518,3.554,6,7,1.8,2.35,1.9,2.55,2,2,1.431,3.274
"CLEANER_MAID","LDT_short",695.7188,0.37232,0.80652,2.549,3.066,7,4,1.8,1.5,1.9,1,2,1,2.447,2.789
"MINOR_MAJOR","LDT_short",659.6129,0.51359,0.91536,2.816,3.728,5,5,1.85,1.85,1.35,1.8,2,2,2.726,3.246
"FEMALE_MALE","LDT_short",589.75,0.8163,0.96802,3.208,3.239,6,4,2.35,1,2.35,1,2,1,3.016,3.044
"ATLAS_MAP","LDT_short",610.875,0.4449,0.62597,1.724,3.211,5,3,2.25,1,1.85,1,2,1,1.556,2.906
