"SUBJECT","school","saccade","stroop","stroop_err","ospan","Zstroop","Zstroop_err","zstrcomb","ac","passage","vocaba","vocabb","vocabc","meq","age","gender","education","vision"
24,"msu",0.85,54.72,0.03,61,-1.08040171255819,-0.425541864356709,-0.75297178845745,1.40731494726758,39,19,22,17,61,27,"f",20,1
25,"msu",0.67,138.39,0.06,22,0.297823805124702,0.069236281844684,0.183530043484693,-1.081822405947,28,18,17,12,54,24,"f",14,1
26,"msu",0.75,111.12,0.08,32,-0.151371962381124,0.399088379312279,0.123858208465578,-0.428089720345362,41,19,18,14,42,26,"f",16,2
27,"msu",0.69,138.49,0.08,36,0.299471020993811,0.399088379312279,0.349279700153045,-0.627354923479809,45,20,22,15,31,19,"f",13,1
28,"msu",0.65,217.31,0.11,31,1.59780656902495,0.893866525513672,1.24583654726931,-1.44468902114321,39,18,16,12,54,20,"f",14,2
29,"msu",0.56,130.82,0.06,15,0.173129563833206,0.069236281844684,0.121182922838945,-1.66815918541201,32,16,16,14,60.5,20,"f",14,5
30,"msu",0.56,176.38,0,0,0.923601113798936,-0.920320010558102,0.00164055162041693,-2.1134751053746,42,19,20,15,33,36,"m",17,3
31,"msu",0.6,135.8,0.11,31,0.255160914114798,0.893866525513672,0.574513719814235,-1.23853820182249,32,16,18,11,54,25,"m",12,1
32,"msu",0.75,97.29,0.03,44,-0.379181917078798,-0.425541864356709,-0.402361890717753,0.280063290476051,40,17,20,15,50,20,"m",13,1
33,"msu",0.85,134.64,0.11,28,0.236053210033142,0.893866525513672,0.564959867773407,-0.467007916519186,35,18,18,15,51,25,"f",16,2
34,"msu",0.83,10.77,0,61,-1.80435308703128,-0.920320010558102,-1.36233654879469,1.68265037492322,38,18,19,14,51,18,"f",12,1
35,"msu",0.94,87.84,0,41,-0.53484381670953,-0.920320010558102,-0.727581913633816,1.02173357672826,40,21,20,14,59,19,"m",13,1
36,"msu",0.77,66.62,0.14,37,-0.884383024134306,1.38864467171507,0.25213082379038,-0.260192568781254,37,17,20,13,44,18,"f",12,1
37,"msu",0.75,154.38,0.07,7,0.561213622595115,0.234162330578482,0.397687976586799,-1.43798631557051,32,16,16,13,42.5,19,"m",12,1
38,"msu",0.58,14.57,0.03,41,-1.74175888400516,-0.425541864356709,-1.08365037418094,-0.0277231238224376,35,21,21,13,38,28,"m",15,3
39,"msu",0.63,121.38,0.03,64,0.0176323857893849,-0.425541864356709,-0.203954739283662,0.434754416759026,40,19,18,15,50,22,"f",16,2
40,"msu",0.83,152.17,0.06,39,0.524810151887822,0.069236281844684,0.297023216866253,-0.0087095445438441,40,22,22,13,47,19,"f",13,2
41,"msu",0.83,298.07,0.06,50,2.92809810491679,0.069236281844684,1.49866719338074,-0.312533212401034,38,16,18,12,50,18,"f",12,2
42,"msu",0.79,169.86,0.17,50,0.816202639133076,1.88342281791646,1.34981272852477,-0.367292777293048,39,19,18,13,45,20,"f",14,1
43,"msu",0.65,185.41,0.14,35,1.07234470677941,1.38864467171507,1.23049468924724,-1.29921693499622,36,15,19,13,35,24,"f",14,2
44,"msu",0.63,60.37,0.15,46,-0.987334015953573,1.55357072044886,0.283118352247645,-0.456431185343832,40,20,21,16,44,22,"f",16,1
45,"msu",0.5,51.09,0,28,-1.14019564860682,-0.920320010558102,-1.03025782958246,-0.780495152886607,39,19,20,14,45,23,"f",15,1
46,"msu",0.48,68.14,0,49,-0.85934534292386,-0.920320010558102,-0.889832676740981,-0.211308446091109,32,17,17,11,53,22,"m",16,1
47,"msu",0.85,161.39,0.11,59,0.676683455019605,0.893866525513672,0.785274990266639,0.468443017760272,37,18,17,13,50,20,"m",13,1
48,"msu",0.81,139.98,0.11,33,0.324014537443524,0.893866525513672,0.608940531478598,-0.45990286680296,42,17,16,13,41,18,"f",12,1
49,"msu",0.67,183.51,0.27,50,1.04104760526636,3.53268330525443,2.28686545526039,-1.31454447911149,33,19,17,14,51,18,"f",12,1
50,"msu",0.77,72.76,0.11,28,-0.783243969771058,0.893866525513672,0.0553112778713073,-0.456592744789379,39,20,17,12,49,20,"f",14,1
51,"msu",0.63,85.5,0.14,62,-0.573388668046664,1.38864467171507,0.407628001834201,0.0202713816595817,42,23,21,15,35,19,"m",13,3
52,"msu",0.5,231.59,0.06,41,1.83302899513361,0.069236281844684,0.951132638489149,-1.45717355690878,40,20,18,15,57,18,"f",12,1
53,"msu",0.67,123.93,0.06,61,0.0596363904516461,0.069236281844684,0.064436336148165,0.319276816167795,31,17,17,13,35,18,"f",12,1
54,"msu",0.46,136.57,0,43,0.267844476306932,-0.920320010558102,-0.326237767125585,-0.804923326147813,33,16,17,10,45,23,"m",15,1
55,"msu",0.73,102.06,0.06,54,-0.300609720122333,0.069236281844684,-0.115686719138825,0.390315412661064,44,21,19,15,45,20,"f",14,3
56,"msu",0.7,60.47,0.06,55,-0.985686800084465,0.069236281844684,-0.45822525911989,0.514105754670089,36,16,18,14,66,18,"m",12,1
57,"msu",0.5,113.01,0.03,56,-0.120239582454977,-0.425541864356709,-0.272890723405843,-0.251548699985934,43,19,22,13,43,21,"f",16,1
58,"msu",0.79,131.62,0,56,0.186307290786072,-0.920320010558102,-0.367006359886015,0.809421539363996,34,17,17,11,43,23,"f",12,1
59,"msu",0.81,180.24,0.08,19,0.987183646346515,0.399088379312279,0.693136012829397,-0.986314201633034,39,19,19,12,55,18,"f",12,1
60,"msu",0.88,202.74,0.05,53,1.35780721689588,-0.0956897668891135,0.631058725003382,0.454772833160674,39,18,19,13,50,18,"f",12,1
61,"msu",0.69,246.04,0,52,2.07105168821976,-0.920320010558102,0.575365838830829,-0.208133364318222,34,15,14,13,45,20,"f",13,1
62,"msu",0.73,87.93,0.06,55,-0.533361322427332,0.069236281844684,-0.232062520291324,0.490368761690445,38,19,21,16,NA,18,"f",12,1
63,"msu",0.81,154.38,0.11,23,0.561213622595115,0.893866525513672,0.727540074054394,-0.868992779088641,41,19,20,13,58,24,NA,18,2
64,"msu",0.85,124.31,0.03,62,0.0658958107542575,-0.425541864356709,-0.179823026801226,1.11717399881201,32,18,17,14,45,18,"f",12,1
65,"msu",0.77,87.69,0.03,28,-0.537314640513192,-0.425541864356709,-0.481428252434951,-0.15285780153058,37,20,19,15,47,18,"f",12,1
66,"msu",0.69,201.13,0.06,38,1.33128704140323,0.069236281844684,0.700261661623959,-0.757576570662485,38,19,22,15,58,26,"m",16,3
67,"msu",0.65,129.71,0.08,34,0.154845467686104,0.399088379312279,0.276966923499192,-0.793823729717406,38,16,19,13,49.5,19,"m",13,2
68,"msu",0.5,81.74,0,32,-0.635323984725135,-0.920320010558102,-0.777821997641618,-0.786555489589956,40,16,20,13,44,23,"m",15,1
69,"msu",0.9,64.75,0.06,68,-0.915185960886631,0.069236281844684,-0.422974839520973,1.63369967761854,43,21,24,16,40,22,"m",15,2
70,"msu",0.73,117.73,0,61,-0.0424909934330669,-0.920320010558102,-0.481405501995584,0.836654636175877,46,22,21,12,59,30,"f",18,6
71,"msu",0.71,109.56,0.08,26,-0.177068529939213,0.399088379312279,0.111009924686533,-0.764999122103156,40,18,20,14,38,20,"f",14,2
72,"msu",0.77,59.44,0,52,-1.00265312353628,-0.920320010558102,-0.961486567047191,0.939543664609662,43,19,20,15,39,20,"m",13,1
73,"msu",0.85,74.19,0.03,61,-0.759688782842809,-0.425541864356709,-0.592615323599759,1.31657100350227,31,15,18,14,48,23,"m",13,1
74,"msu",0.48,99.21,0.17,42,-0.347555372391919,1.88342281791646,0.767933722762269,-1.38880307622534,38,16,19,15,70,21,"f",14,1
75,"msu",0.56,126.35,0.09,44,0.0994990144840661,0.564014428046077,0.331756721265071,-0.795590893437003,38,17,16,10,47,19,"m",12,2
76,"msu",0.69,30.27,0,51,-1.48314599255516,-0.920320010558102,-1.20173300155663,0.763309571790852,39,15,17,12,69.5,25,"f",17,1
77,"msu",0.48,163.75,0.03,75,0.715557749530561,-0.425541864356709,0.145007942586926,0.0922236757438337,39,21,22,14,46,22,"m",15,2
78,"msu",0.73,149.1,0,32,0.474240624706198,-0.920320010558102,-0.223039692925952,-0.301281375209062,41,18,19,13,33,33,"f",20,1
79,"msu",0.67,75.2,0.03,23,-0.743051902564816,-0.425541864356709,-0.584296883460762,-0.613120094886251,36,18,21,13,59,19,"f",12,2
80,"msu",0.56,134.45,0.03,23,0.232923499881836,-0.425541864356709,-0.0963091822374363,-1.27150221903597,36,14,17,13,40,18,"f",12,1
81,"msu",0.73,115.38,0,50,-0.0812005663571115,-0.920320010558102,-0.500760288457607,0.471433972882022,44,22,24,18,63.5,29,"m",16,2
82,"msu",0.6,101.14,0,53,-0.31576410611813,-0.920320010558102,-0.618042058338116,0.188662521883454,38,18,19,13,36,18,"m",11,2
83,"msu",0.5,176.53,0.12,61,0.926071937602598,1.05879257424747,0.992432255925034,-0.796593057246077,39,16,17,14,50,20,"f",14,1
84,"msu",0.44,52.97,0.14,14,-1.10922799026759,1.38864467171507,0.13970834072374,-2.12982405206126,35,17,15,5,58,22,"f",15,1
85,"msu",0.44,225.71,0,31,1.73617270203005,-0.920320010558102,0.407926345735973,-1.70024687372217,34,19,17,13,22,20,"f",13,1
86,"msu",0.71,79.65,0.06,27,-0.669750796389498,0.069236281844684,-0.300257257272407,-0.498070013493246,41,19,19,15,57,18,"f",12,1
87,"msu",0.73,208.24,0,41,1.44840408969683,-0.920320010558102,0.264042039569365,-0.269137349143175,36,14,18,14,44,19,"m",12,1
88,"msu",0.5,135.72,0.11,42,0.253843141419511,0.893866525513672,0.573854833466592,-1.20947865948001,32,17,17,13,48,21,"f",14,2
89,"msu",0.88,114.82,0,49,-0.0904249752241179,-0.920320010558102,-0.50537249289111,0.961076347854785,39,14,19,13,55,22,"m",13,7
90,"msu",0.48,492.98,0.08,22,6.13868655539573,0.399088379312279,3.26888746735401,-3.48801653855498,37,20,20,13,39,22,"m",15,2
91,"msu",0.75,51.57,0.06,48,-1.1322890124351,0.069236281844684,-0.531526365295208,0.489946332084601,37,17,19,14,43,19,"f",12,2
92,"msu",0.81,58.01,0,51,-1.02620831046453,-0.920320010558102,-0.973264160511315,1.05100555380819,40,19,20,13,NA,19,"m",13,1
93,"msu",0.56,62.1,0.03,37,-0.958837181418,-0.425541864356709,-0.692189522887354,-0.455534101203671,32,16,14,13,44,21,"m",12,7
94,"msu",0.58,109.82,0.18,7,-0.172785768679532,2.04834886665026,0.937781548985362,-2.33434655569227,34,13,15,13,44,19,"f",12,1
95,"msu",0.6,NA,NA,17,NA,NA,NA,NA,32,10,15,10,42.5,25,"f",17,3
96,"msu",0.67,117.39,-0.03,39,-0.0480915273880351,-1.41509815675949,-0.731594842073765,0.0173953809720335,30,17,13,12,36,19,"f",12,1
97,"msu",0.75,286.32,0.12,34,2.73455024029657,1.05879257424747,1.89667140727202,-1.3629098847069,37,17,20,13,40,20,"m",12,1
98,"msu",0.71,125.96,0,57,0.0930748725945438,-0.920320010558102,-0.413622568981779,0.592009400447281,37,21,17,14,51,20,"m",13,4
99,"msu",0.73,110.6,0,18,-0.159937484900487,-0.920320010558102,-0.540128747729294,-0.600610244639456,43,20,20,18,37,29,"m",18,1
100,"msu",0.56,76.93,0.03,42,-0.714555068029243,-0.425541864356709,-0.570048466192976,-0.353664495915986,40,19,19,14,48.5,21,"f",14,5
101,"msu",0.83,71.51,0.06,40,-0.803834168134911,0.069236281844684,-0.367298943145114,0.401420567644569,41,15,22,14,43,19,"m",12,1
102,"msu",0.88,155.91,0.06,48,0.586416025392472,0.069236281844684,0.327826153618578,0.455380906213098,45,21,24,17,72,26,"f",16,1
103,"msu",0.77,143.06,0.09,62,0.374748786212059,0.564014428046077,0.469381607129068,0.471806992573352,41,20,19,12,64,21,"m",15,5
104,"msu",0.63,146.21,0.06,27,0.42663608608897,0.069236281844684,0.247936183966827,-1.08627590684905,39,20,17,12,45,35,"f",15,2
105,"msu",0.88,90.24,0,46,-0.495310635850932,-0.920320010558102,-0.707815323204517,0.973043774519239,31,15,18,8,29,20,"m",13,1
106,"msu",0.73,154.52,0.03,48,0.563519724811867,-0.425541864356709,0.0689889302275791,0.0806240638427265,43,14,21,15,44,25,"m",17,1
107,"msu",0.71,133.71,0.06,NA,0.220734102450435,0.069236281844684,0.14498519214756,NA,28,13,13,10,45,20,"m",12,1
108,"msu",0.71,119.48,0.14,55,-0.0136647157236721,1.38864467171507,0.687489977995696,-0.0994931187982647,40,19,17,14,58,18,"f",12,2
109,"msu",0.75,97.22,0.06,35,-0.380334968187174,0.069236281844684,-0.155549343171245,-0.167383363624837,31,19,18,13,45,18,"m",12,1
110,"msu",0.83,239.41,0.08,36,1.96184127609788,0.399088379312279,1.18046482770508,-0.611232071564735,40,14,19,14,40,18,"f",12,1
111,"msu",0.6,96.59,0,46,-0.390712428162556,-0.920320010558102,-0.655516219360329,-0.0295142894804395,41,19,20,14,56,18,"f",12,2
112,"msu",0.73,68.75,0.03,52,-0.849297326122299,-0.425541864356709,-0.637419595239504,0.617163107373475,41,20,20,13,44,19,"f",12,1
113,"msu",0.77,130.68,0.03,19,0.170823461616455,-0.425541864356709,-0.127359201370127,-0.660999720598601,32,13,18,13,42,18,"m",12,1
114,"msu",0.65,246.73,0.06,20,2.08241747771661,0.069236281844684,1.07582687978065,-1.72465575928983,37,18,19,14,60.5,18,"f",12,7
115,"msu",0.58,157.14,0.09,61,0.606676780582504,0.564014428046077,0.58534560431429,-0.28823793008367,40,16,21,13,47,19,"f",13,1
116,"msu",0.67,96.1,0.03,48,-0.398783785921187,-0.425541864356709,-0.412162825138948,0.144410520432657,41,20,19,15,48,18,"m",12,1
117,"msu",0.58,106.81,0.06,45,-0.22236696633969,0.069236281844684,-0.0765653422475032,-0.460831067414849,39,15,16,11,42.5,19,"m",12,1
118,"msu",0.83,138.54,0.03,35,0.300294628928365,-0.425541864356709,-0.0626236177141721,0.0580203086843488,41,19,20,14,53,19,"f",13,1
119,"msu",0.71,164.44,0.03,63,0.726923539027408,-0.425541864356709,0.150690837335349,0.477856155222595,41,18,19,13,55,18,"f",12,1
120,"msu",0.38,140.44,0,43,0.331591730441422,-0.920320010558102,-0.29436414005834,-1.10094956697935,39,17,19,13,37.5,19,"f",12,6
121,"msu",0.65,90.35,0.03,48,-0.493498698394912,-0.425541864356709,-0.459520281375811,0.101712252070869,42,17,20,12,42.5,18,"f",12,2
122,"msu",0.75,156.88,0.11,75,0.602394019322822,0.893866525513672,0.748130272418247,0.68913736091792,40,17,20,15,38,20,"m",14,1
123,"msu",0.63,160.8,0.06,35,0.666964881391867,0.069236281844684,0.368100581618275,-0.880695007925099,34,18,19,11,49,20,"m",14,2
124,"msu",0.56,85.57,0,50,-0.572235616938288,-0.920320010558102,-0.746277813748195,0.0196423339287695,30,16,18,11,38,18,"m",12,1
125,"msu",0.56,187.53,0.24,56,1.10726568320451,3.03790515905304,2.07258542112877,-1.37033563741778,32,18,17,13,72,20,"f",12,2
126,"msu",0.75,68.52,0.03,33,-0.853085922621249,-0.425541864356709,-0.639313893488979,0.0379784769140703,41,16,17,13,65.5,19,"f",13,1
127,"msu",0.79,NA,NA,65,NA,NA,NA,NA,31,12,17,13,39,18,"f",12,1
128,"msu",0.71,108.64,0.06,49,-0.192222915935009,0.069236281844684,-0.0614933170451625,0.119162766917809,40,20,19,14,54.5,19,"f",12,2
129,"washu",0.75,200.97,0.03,54,1.32865149601266,-0.425541864356709,0.451554815827976,0.138817050742816,45,21,21,15,35,19,"f",13,1
130,"washu",0.67,76.13,-0.03,64,-0.727732794982109,-1.41509815675949,-1.0714154758708,1.06463547469114,41,19,19,15,44,22,"f",15,2
131,"washu",0.75,87.84,0.09,45,-0.53484381670953,0.564014428046077,0.0145853056682734,0.0783150742218995,44,21,23,17,38,20,"f",15,1
132,"washu",0.73,115.06,0,45,-0.0864716571382579,-0.920320010558102,-0.50339583384818,0.30193752506559,45,23,25,20,34,21,"f",15,3
133,"washu",0.88,37.33,0.08,57,-1.36685255219612,0.399088379312279,-0.48388208644192,1.22249576327824,42,19,24,16,38,17,"m",12,7
134,"washu",0.69,64.77,0,75,-0.914856517712809,-0.920320010558102,-0.917588264135455,1.42325701220445,43,20,21,14,31,20,"f",14,7
135,"washu",0.52,77.63,0,63,-0.703024556945485,-0.920320010558102,-0.811672283751793,0.362222155847806,45,19,22,15,40,18,"f",13,1
136,"washu",0.9,63.8,0.11,45,-0.930834511643159,0.893866525513672,-0.0184839930647435,0.618258577771524,39,17,18,15,29,18,"m",12,2
137,"washu",0.77,137.84,0.06,75,0.288764117844607,0.069236281844684,0.179000199844645,1.08069907981811,46,21,23,15,60,19,"f",13,1
138,"washu",0.96,41.6,0.14,68,-1.2965164345852,1.38864467171507,0.0460641185649346,1.57676771857724,41,20,23,16,46,18,"f",13,1
139,"washu",0.88,87.99,0,57,-0.532372992905868,-0.920320010558102,-0.726346501731985,1.35970368492765,24,11,14,9,34,21,"m",15,1
140,"washu",0.83,139.26,0,56,0.312154583185944,-0.920320010558102,-0.304082713686079,0.912808400840223,41,19,20,13,37,19,"m",13,1
141,"washu",0.77,46.18,0.06,68,-1.22107394778004,0.069236281844684,-0.575918832967677,1.26851635892143,42,19,22,15,40,20,"m",13,1
142,"washu",0.73,51.98,0.03,52,-1.12553542737176,-0.425541864356709,-0.775538645864233,0.695323145223722,34,18,19,13,44,20,"m",13,2
143,"washu",0.79,70.71,0.09,31,-0.817011895087777,0.564014428046077,-0.12649873352085,-0.181618425663328,42,17,19,13,50,21,"m",15,1
144,"washu",0.58,51.84,0.03,75,-1.12784152958851,-0.425541864356709,-0.776691696972609,0.961289908668803,43,19,21,16,53,20,"F",15,2
145,"washu",0.58,198.23,0.07,16,1.28351778119909,0.234162330578482,0.758840055888787,-1.92530737804556,36,19,18,13,32,22,"f",11,2
146,"washu",0.75,37.25,0.11,69,-1.36817032489141,0.893866525513672,-0.237151899688867,1.04151215863007,40,18,21,13,57,19,"f",13,2
147,"washu",0.67,137.71,0.09,29,0.286622737214766,0.564014428046077,0.425318582630422,-0.979264833603739,44,18,21,14,36,21,"m",15,2
148,"washu",0.88,124.8,0.03,68,0.0739671685128879,-0.425541864356709,-0.17578734792191,1.42432169224939,43,18,22,15,49,20,"f",14,2
149,"washu",0.75,51.06,0,69,-1.14068981336755,-0.920320010558102,-1.03050491196283,1.49046182333938,41,20,21,15,41,23,"m",16,1
150,"washu",0.71,85.97,0.11,28,-0.565646753461855,0.893866525513672,0.164109886025909,-0.726652651420273,41,23,23,15,26,19,"f",13,1
151,"washu",0.79,16.27,0,58,-1.71375621423032,-0.920320010558102,-1.31703811239421,1.41542911377208,43,20,22,15,56,20,"m",13,2
152,"washu",0.77,77.09,0.03,54,-0.711919522638669,-0.425541864356709,-0.568730693497689,0.785682624204638,43,23,22,18,38,22,"f",15,2
153,"washu",0.65,184.94,0.21,55,1.0646027921946,2.54312701285165,1.80386490252313,-0.939729280395491,42,17,19,14,49,20,"f",14,3
154,"washu",0.88,84.93,0.03,48,-0.582777798500581,-0.425541864356709,-0.504159831428645,0.926192541451226,41,19,19,14,34,18,"m",12,1
155,"washu",0.85,111.62,0,36,-0.143135883035582,-0.920320010558102,-0.531727946796842,0.427176144207685,42,20,24,NA,49,22,"f",15,2
156,"washu",0.56,126.42,0.03,33,0.100652065592442,-0.425541864356709,-0.162444899382133,-0.892101003298056,40,18,18,11,41,18,"f",12,1
157,"washu",0.77,57.21,0.03,58,-1.03938603741739,-0.425541864356709,-0.732463950887052,1.01512775634881,42,21,22,13,42,18,"f",12,7
158,"washu",0.79,99.98,0.06,36,-0.334871810199786,0.069236281844684,-0.132817764177551,-0.00705468264306842,41,20,22,15,54,19,"f",13,1
159,"washu",0.69,174.99,0.03,37,0.900704813218331,-0.425541864356709,0.237581474430811,-0.529948562472886,38,19,17,14,34,18,"m",12,2
160,"washu",0.73,11.39,0,62,-1.79414034864281,-0.920320010558102,-1.35723017960045,1.36647167573426,42,22,23,13,46,18,"m",12,1
161,"washu",0.9,14.97,0.03,68,-1.73517002052873,-0.425541864356709,-1.08035594244272,2.00570434789392,41,18,17,15,34,19,"m",12,5
162,"washu",0.67,154.89,0.08,10,0.569614423527567,0.399088379312279,0.484351401419923,-1.66242477065793,42,21,22,17,39,19,"f",13,2
163,"washu",0.65,131.69,0.03,34,0.187460341894448,-0.425541864356709,-0.11904076123113,-0.569727375973941,42,20,20,14,57,20,"f",15,1
164,"washu",0.65,114.44,0.03,55,-0.0966843955267292,-0.425541864356709,-0.261113129941719,0.228818870256835,43,19,20,14,45,NA,"f",14,2
165,"washu",0.75,84.87,0.2,48,-0.583766128022046,2.37820096411785,0.897217418047903,-0.318563918161861,38,16,20,10,36,18,"f",12,2
166,"washu",0.77,NA,NA,53,NA,NA,NA,NA,45,18,21,16,43,21,"M",14,1
167,"washu",0.65,103.72,0,56,-0.273265936695136,-0.920320010558102,-0.596792973626619,0.452973943034785,42,18,21,17,52,21,"f",15,1
168,"washu",0.77,69.49,0,68,-0.837107928690898,-0.920320010558102,-0.8787139696245,1.43986476621877,33,23,23,20,56,20,"m",14,1
169,"washu",0.96,109.79,0.06,24,-0.173279933440264,0.069236281844684,-0.0520218257977899,0.127580177313177,40,16,18,14,46,19,"f",13,1
170,"washu",0.81,55.98,0,61,-1.05964679260743,-0.920320010558102,-0.989983401582764,1.40244253417929,41,19,20,15,60,22,"m",16,3
171,"washu",0.67,65.91,-0.06,45,-0.896078256804975,-1.90987630296089,-1.40297727988293,0.602508699711208,40,18,20,14,47,22,"m",15,1
172,"washu",0.85,97.2,0.03,37,-0.380664411360996,-0.425541864356709,-0.403103137858852,0.388586367097754,43,18,22,17,54,22,"f",15,4
173,"washu",0.58,181.62,0.03,31,1.00991522534021,-0.425541864356709,0.29218668049175,-1.14826979089883,41,17,21,14,30,19,"f",13,3
174,"washu",0.65,86.92,0.06,40,-0.549998202705326,0.069236281844684,-0.240380960430321,-0.295876855484071,34,19,15,13,50,18,"f",12,2
175,"washu",0.58,115.51,0.03,68,-0.0790591857272706,-0.425541864356709,-0.25230052504199,0.425159741184226,39,18,20,12,30,19,"f",13,2
176,"washu",0.69,88.71,0.09,50,-0.520513038648288,0.564014428046077,0.0217506946988943,0.0367561520314168,41,21,20,15,27,19,"f",13,1
177,"washu",0.85,62.19,0.06,53,-0.957354687135802,0.069236281844684,-0.444059202645559,0.95892414546293,40,20,21,16,51,18,"f",12,1
178,"washu",0.9,NA,NA,46,NA,NA,NA,NA,43,22,23,18,59,21,"m",15,1
179,"washu",0.6,75.1,0,35,-0.744699118433924,-0.920320010558102,-0.832509564496013,-0.305529041954155,39,18,19,13,54,20,"f",14,1
180,"washu",0.88,55.91,0.03,61,-1.0607998437158,-0.425541864356709,-0.743170854036255,1.50601469813564,42,20,21,13,38,20,"f",13,1
181,"washu",0.88,184.39,0,43,1.05554310491451,-0.920320010558102,0.0676115471782032,0.431645590333372,40,17,22,14,38,18,"f",12,2
182,"washu",0.65,88.7,0,61,-0.520677760235199,-0.920320010558102,-0.72049888539665,0.693965619272374,37,18,19,14,30,21,"M",15,1
183,"washu",0.69,86.2,0.03,36,-0.561858156962906,-0.425541864356709,-0.493700010659807,-0.150322060843504,35,18,19,13,34,20,"F",14,2
184,"washu",0.75,45.82,0.06,71,-1.22700392490883,0.069236281844684,-0.578883821532071,1.30328961001005,36,15,19,14,54,19,"m",12,1
185,"washu",0.81,79.58,0.08,39,-0.670903847497873,0.399088379312279,-0.135907734092797,0.166783948514879,43,19,21,18,58,20,"F",14,2
186,"washu",0.81,51.57,0,61,-1.1322890124351,-0.920320010558102,-1.0263045114966,1.4229962471739,37,18,20,16,41,20,"M",14,7
187,"washu",0.77,28.89,0.06,58,-1.50587757154886,0.069236281844684,-0.718320644852087,1.00712421643147,39,17,19,14,41,20,"F",14,1
188,"washu",0.79,142.35,0.03,71,0.36305355354139,-0.425541864356709,-0.0312441554076595,1.13238105537562,39,18,19,12,36,21,"F",15,7
189,"washu",0.92,50.84,0.03,72,-1.14431368827959,-0.425541864356709,-0.78492777631815,2.04481245367643,38,16,17,9,NA,19,"m",13,2
190,"washu",0.67,60.77,0.06,35,-0.98074515247714,0.069236281844684,-0.455754435316228,-0.27548994279138,37,18,20,13,48,19,"F",12,6
