"SUBJECT","school","saccade","stroop","stroop_err","ospan","Zstroop","Zstroop_err","zstrcomb","ac","passage","vocaba","vocabb","vocabc","meq","age","gender","education","vision"
1,"msu",0.46,104.28,0.06,31,-0.26404152782813,0.069236281844684,-0.0974026229917229,-1.34478949139921,40,18,21,12,39,18,"m",15,6
2,"msu",0.85,171.77,0.03,54,0.847664462233044,-0.425541864356709,0.211061298938168,0.622396299136243,36,18,20,17,42,25,"m",18,1
3,"msu",0.83,160.59,0.03,32,0.663505728066739,-0.425541864356709,0.118981931855015,-0.147340980510293,36,15,17,12,55,18,"m",12,1
4,"msu",0.77,126.79,0.11,62,0.106746764308143,0.893866525513672,0.500306644910907,0.454306856910559,45,21,21,16,48,27,"f",16,7
5,"msu",0.88,72.91,-0.03,28,-0.780773145967395,-1.41509815675949,-1.09793565136344,0.578252193189512,41,16,16,11,41,32,"f",18,1
6,"msu",0.81,85.15,0.03,69,-0.579153923588543,-0.425541864356709,-0.502347893972626,1.40007561031318,45,19,21,18,35,19,"f",14,1
7,"msu",0.79,105.77,0.03,43,-0.239498011378417,-0.425541864356709,-0.332519937867563,0.345337584260392,42,19,19,16,42,28,"f",16,1
8,"msu",0.77,103,0.03,75,-0.285125890952716,-0.425541864356709,-0.355333877654712,1.38307280403013,40,19,19,15,32,22,"f",15,1
9,"msu",0.81,117.82,0.11,42,-0.0410084991508697,0.893866525513672,0.426429013181401,-0.0488434515167314,33,16,19,13,36,23,"m",17,2
10,"msu",0.5,143.39,0,68,0.380184598580116,-0.920320010558102,-0.270067705988993,0.157224682675192,40,18,18,13,35,33,"f",12,2
11,"msu",0.67,90.6,0.03,40,-0.489380658722142,-0.425541864356709,-0.457461261539425,-0.103536195072023,38,21,21,12,69,24,"f",16,1
12,"msu",0.75,186.65,0,55,1.09277018355636,-0.920320010558102,0.0862250864991269,0.379750664740855,33,18,12,13,41,22,"f",16,2
13,"msu",0.52,96.2,0,40,-0.397136570052078,-0.920320010558102,-0.65872829030509,-0.510871371644734,40,18,20,14,58,22,"f",16,1
14,"msu",0.63,95.84,0.06,44,-0.403066547180868,0.069236281844684,-0.166915132668092,-0.270157380355591,35,18,16,11,44,25,"f",16,1
15,"msu",0.69,177.52,0.14,41,0.94237937470677,1.38864467171507,1.16551202321092,-0.918263862535694,41,15,17,10,44,21,"m",12,1
16,"msu",0.88,79.45,0,43,-0.673045228127714,-0.920320010558102,-0.796682619342908,0.920740066898963,35,17,17,14,39,23,"m",15,2
17,"msu",0.65,206.77,0,26,1.42419001642094,-0.920320010558102,0.251935002931419,-1.05323904160624,33,15,18,15,41,23,"F",14,4
18,"msu",0.98,86.08,0,44,-0.563834816005836,-0.920320010558102,-0.742077413281969,1.27152379783409,29,11,14,7,42,20,"f",13,1
19,"msu",0.75,137.4,0.03,23,0.281516368020531,-0.425541864356709,-0.0720127481680892,-0.625026692502289,34,16,16,14,28,31,"f",19,1
20,"msu",0.69,147.58,0,33,0.449202943495753,-0.920320010558102,-0.235558533531174,-0.398994182018908,39,18,20,13,36,25,"f",19,2
21,"msu",0.67,234.45,0.14,22,1.88013936899011,1.38864467171507,1.63439202035259,-1.90284909643293,35,14,21,14,53,26,"m",16,1
22,"msu",0.92,50.14,0,37,-1.15584419936335,-0.920320010558102,-1.03808210496073,0.99115456273263,37,19,18,13,57,35,"m",18,1
23,"msu",0.83,142.35,0,38,0.36305355354139,-0.920320010558102,-0.278633228508356,0.282850474296728,39,20,19,15,31,20,"m",14,4
