"Occurrences","Word","LgSUBTLWF","OLD","PLD","NSyll"
"1","sepulchre","0.903","4.450","3.000","3"
"1","sequel","1.959","2.600","2.250","2"
"1","sequences","1.613","3.050","3.500","3"
"1","sequent","0.301","2.500","2.400","2"
"1","sequential","1.041","3.800","3.900","3"
"1","sequestration","0.301","4.450","4.900","4"
"1","sequin","0.903","2.550","2.500","2"
"1","sequins","1.462","2.700","2.650","2"
"1","sequoia","0.903","3.400","3.250","2"
"1","serene","1.806","2.050","1.950","2"
"1","serenely","0.903","2.850","2.900","3"
"1","serf","1.000","1.800","1.750","1"
"1","serge","1.924","1.800","1.650","1"
"1","sergeant","3.507","2.800","2.800","2"
"1","sergeants","1.643","3.200","3.400","2"
"1","serial","2.762","1.950","1.800","2"
"1","serialize","1.623","2.800","2.950","3"
"1","seriously","3.515","2.800","2.700","3"
"1","seriousness","1.813","4.150","3.400","3"
"1","sermonize","#","3.600","3.100","3"
"1","serpent","2.000","2.400","2.550","2"
"1","serpentine","1.114","3.650","4.150","3"
"1","serrate","#","2.400","1.750","2"
"1","servants","2.548","2.700","3.000","2"
"1","served","3.003","1.800","1.700","1"
"1","service","3.610","2.600","1.800","2"
"1","servicemen","1.447","4.450","3.650","3"
"1","services","3.023","2.600","2.600","3"
"1","servility","#","3.150","3.650","4"
"1","servings","0.845","2.350","2.200","2"
"1","servitude","1.544","3.650","3.350","3"
"1","sesame","1.898","2.350","2.700","3"
"1","session","2.832","2.150","1.800","2"
"1","sessions","2.373","2.350","1.800","2"
"1","set","4.072","1.000","1.000","1"
"1","set's","#","#","#","1"
"1","setting","3.041","1.450","1.100","2"
"1","settings","1.699","1.950","1.750","2"
"1","settle","3.331","1.600","1.350","2"
"1","settled","2.997","1.800","1.750","2"
"1","settlement","2.509","3.250","2.900","3"
"1","settler","0.699","1.750","2.050","3"
"1","settling","2.324","1.950","1.950","3"
"1","seven","3.727","1.800","1.750","2"
"1","seventeenth","1.301","4.300","4.400","3"
"1","seventies","1.477","3.300","3.150","3"
"1","seventy","2.025","2.600","2.650","3"
"1","several","3.296","2.450","2.350","2"
"1","severally","#","3.150","2.500","3"
"1","severance","1.756","2.950","2.850","3"
"1","severed","2.190","1.850","1.850","2"
"1","severely","2.190","2.650","2.950","3"
"1","severing","1.041","2.000","2.100","3"
"1","severity","1.491","2.600","2.700","4"
"1","sew","2.449","1.000","1.000","1"
"1","seward","#","1.850","1.850","2"
"1","seward's","#","#","#","2"
"1","sewed","1.944","1.750","1.000","1"
"1","sewer's","#","#","#","1"
"1","sewers","1.826","1.850","1.800","1"
"1","sewing","2.299","1.750","1.200","2"
"1","sewn","1.826","1.750","1.000","1"
"1","sex","3.890","1.350","1.000","1"
"1","sexed","0.845","1.800","1.650","1"
"1","sexes","1.491","1.850","1.900","2"
"1","sexism","1.000","2.650","3.550","3"
"1","sexist","1.954","2.400","2.800","2"
"1","sexton","1.380","2.450","2.400","2"
"1","sextuplet","0.301","3.950","4.650","3"
"1","sexual","3.229","2.450","2.600","2"
"1","sexuality","2.201","2.800","4.100","5"
"1","sexualized","0.845","3.450","4.100","3"
"1","shacked","1.591","1.700","1.250","1"
"1","shackle","1.230","2.000","1.800","2"
"1","shackles","1.681","2.250","1.800","2"
"1","shacks","1.447","1.550","1.100","1"
"1","shaded","0.954","1.700","1.400","2"
"1","shades","2.164","1.600","1.600","1"
"1","shading","1.230","1.750","1.150","2"
"1","shadow","3.034","2.250","1.750","2"
"1","shadowed","1.477","2.750","2.000","2"
"1","shadows","2.766","2.600","1.850","2"
"1","shadowy","1.940","2.650","1.850","3"
"1","shady","2.083","1.900","1.600","2"
"1","shaft","2.595","1.900","1.550","1"
"1","shafted","1.041","1.950","2.200","2"
"1","shafts","1.653","1.900","1.800","1"
"1","shaggy","1.898","2.450","1.600","2"
"1","shake","3.306","1.250","1.000","1"
"1","shaken","2.230","1.800","1.750","2"
"1","shaker","1.914","1.750","1.550","2"
"1","shakers","1.518","1.850","1.850","2"
"1","Shakespearean","1.342","6.300","4.600","3"
"1","shaking","2.818","1.750","1.550","2"
"1","shaky","2.182","1.900","1.850","2"
"1","shall","3.975","1.650","1.250","1"
"1","shallot","0.477","2.450","2.250","2"
"1","shallow","2.480","2.000","1.450","2"
"1","shallower","0.477","2.850","2.350","2"
"1","shalom","1.875","2.350","1.950","2"
"1","sham","1.892","1.350","1.000","1"
"1","shamble","0.477","2.050","1.750","2"
"1","shambled","#","2.400","1.950","2"
"1","shambles","1.681","2.300","1.850","2"
"1","shamefaced","#","4.250","3.800","2"
"1","shamefacedly","#","5.700","5.300","3"
"1","shameful","1.996","3.100","2.550","2"
"1","shammy","#","2.150","1.700","2"
"1","shams","0.778","1.750","1.550","1"
"1","shan't","#","#","#","1"
"1","shank","1.845","1.550","1.450","1"
"1","shanties","0.602","2.950","1.800","2"
"1","shantytown","0.699","4.750","4.800","3"
"1","shaped","2.260","1.700","1.700","1"
"1","shapes","1.991","1.700","1.600","1"
"1","shaping","1.732","1.800","1.650","2"
"1","shard","1.580","1.650","1.150","1"
"1","share","3.550","1.100","1.000","1"
"1","sharecropper","0.778","5.200","4.550","3"
"1","shared","2.728","1.350","1.350","1"
"1","shareholder","1.447","3.950","4.050","3"
"1","shareholders","1.690","4.400","4.250","3"
"1","shares","2.512","1.350","1.000","1"
"1","sharing","2.795","1.500","1.500","2"
"1","shark's","#","#","#","1"
"1","sharks","2.575","1.750","1.650","1"
"1","sharkskin","0.602","3.800","3.800","2"
"1","sharp","3.084","1.800","1.750","1"
"1","sharpen","1.763","2.000","1.900","2"
"1","sharpened","1.716","2.650","2.550","2"
"1","sharpener","1.255","3.150","2.700","3"
"1","sharper","1.819","1.900","1.850","2"
"1","sharpness","1.114","2.800","2.600","2"
"1","sharpshooters","1.380","5.400","4.700","3"
"1","shatter","1.863","1.650","1.200","2"
"1","shattered","2.332","2.000","1.550","2"
"1","shattering","1.602","2.550","1.850","3"
"1","shatterproof","0.903","5.250","4.350","3"
"1","shatters","1.477","1.800","1.600","2"
"1","shave","2.847","1.250","1.150","1"
"1","shaver","1.398","1.650","1.650","2"
"1","shawl","1.851","1.800","1.000","1"
"1","shawls","0.954","1.950","1.450","1"
"1","Shawnee","0.477","2.950","1.850","2"
"1","she","5.280","1.600","1.000","1"
"1","she'd","#","#","#","1"
"1","Shea's","#","#","#","1"
"1","sheaf","0.477","1.850","1.150","1"
"1","shearing","1.041","1.800","1.350","2"
"1","sheathe","0.778","2.500","1.350","1"
"1","sheathing","0.477","2.550","1.900","2"
"1","shebang","1.491","3.000","2.800","2"
"1","shed","2.749","1.500","1.000","1"
"1","shedding","1.415","2.000","1.150","2"
"1","sheen","1.690","1.800","1.000","1"
"1","sheep","2.836","1.600","1.000","1"
"1","sheepdog","1.447","3.700","3.900","2"
"1","sheepskin","1.176","3.850","3.200","2"
"1","sheered","0.602","1.800","1.250","1"
"1","sheet","2.773","1.650","1.000","1"
"1","sheeting","0.845","2.000","1.250","2"
"1","sheets","2.804","1.900","1.450","1"
"1","sheik","1.892","1.950","1.000","1"
"1","shell","2.829","1.550","1.000","1"
"1","shellac","0.778","2.650","2.100","2"
"1","Shelley's","#","#","#","2"
"1","shellfish","1.708","3.550","3.000","2"
"1","shelter","2.775","1.900","1.850","2"
"1","shelves","2.149","2.150","1.800","1"
"1","shenanigans","1.785","4.950","4.700","4"
"1","Shepard","#","2.650","1.850","2"
"1","shepherd","2.580","2.850","1.850","2"
"1","Sheraton","1.653","3.000","2.850","3"
"1","sheriff","3.494","2.850","1.900","2"
"1","sheriffs","1.778","3.450","2.650","2"
"1","Sherpa","1.204","2.700","2.350","2"
"1","sherry","2.849","2.000","1.050","2"
"1","shield","2.622","2.000","1.450","1"
"1","shielding","1.633","2.750","1.900","2"
"1","shift","3.066","1.700","1.550","1"
"1","shifting","1.954","2.000","2.250","2"
"1","shiftless","1.255","2.900","2.700","2"
"1","shifty","1.580","1.900","1.800","2"
"1","shillings","1.898","2.600","1.900","2"
"1","shimmer","1.462","2.050","1.850","2"
"1","shimmering","1.518","3.100","2.400","3"
"1","shin","2.199","1.500","1.000","1"
"1","shindig","1.845","2.900","3.500","2"
"1","shine","3.023","1.400","1.000","1"
"1","shines","2.267","1.750","1.150","1"
"1","shingles","1.532","2.550","2.200","2"
"1","shining","2.701","1.950","1.800","2"
"1","shiningly","#","3.250","2.950","3"
"1","Shinto","0.845","2.000","2.200","2"
"1","Shintoism","#","3.900","4.350","4"
"1","shiny","2.601","1.850","1.800","2"
"1","ship","3.703","1.450","1.000","1"
"1","shipbroker","#","4.400","4.300","3"
"1","shipbuilder","0.477","4.700","4.350","3"
"1","shipman","0.845","2.750","2.550","2"
"1","shipmates","1.544","3.450","3.350","2"
"1","shipments","1.633","3.400","2.750","2"
"1","shipped","2.332","1.700","1.450","1"
"1","shippers","0.845","2.100","1.950","2"
"1","shipping","2.509","1.700","1.550","2"
"1","ships","3.001","1.550","1.500","1"
"1","shipshape","1.491","3.950","3.150","2"
"1","shipwrecked","1.532","4.750","3.550","2"
"1","shire","1.653","1.550","1.100","1"
"1","Shirley","2.927","2.750","1.750","2"
"1","shirt","3.374","1.700","1.500","1"
"1","shirtfront","0.301","4.750","4.850","2"
"1","shirtsleeve","0.301","5.650","4.600","2"
"1","shivering","1.919","2.750","2.000","3"
"1","shivery","0.845","2.450","2.000","3"
"1","shoals","1.114","1.950","1.150","1"
"1","shock","3.167","1.550","1.000","1"
"1","shocked","2.777","1.850","1.450","1"
"1","shocker","1.690","1.950","1.650","2"
"1","shockingly","1.447","3.400","2.800","3"
"1","shocks","1.748","1.700","1.100","1"
"1","shoddy","1.580","2.650","1.700","2"
"1","shoe","3.191","1.400","1.000","1"
"1","shoelaces","1.740","3.450","3.700","3"
"1","shoes","3.578","1.650","1.000","1"
"1","shoestring","1.146","3.300","3.450","2"
"1","shoestrings","0.778","3.850","3.750","2"
"1","shogun","1.544","2.550","2.600","2"
"1","shone","1.491","1.600","1.000","1"
"1","shooters","2.013","2.550","1.750","2"
"1","shootings","1.633","2.650","1.850","2"
"1","shop","3.437","1.400","1.100","1"
"1","shopping","3.185","1.650","1.550","2"
"1","shops","2.362","1.550","1.400","1"
"1","shopwindow","#","4.750","5.000","3"
"1","shopworn","0.602","3.350","3.750","2"
"1","shore","3.006","1.150","1.000","1"
"1","shorn","1.146","1.650","1.200","1"
"1","short","3.640","1.450","1.500","1"
"1","shortage","2.130","2.700","2.650","2"
"1","shortages","1.380","2.850","3.250","3"
"1","shortbread","1.041","3.850","4.050","2"
"1","shortcake","1.431","3.600","3.700","2"
"1","shortcoming","0.778","3.950","4.250","3"
"1","shortcomings","1.580","4.500","4.900","3"
"1","shortcut","2.305","3.250","3.600","2"
"1","shorten","1.724","2.100","1.900","2"
"1","shortened","1.398","2.850","2.650","2"
"1","shortening","1.255","2.950","2.850","3"
"1","shorter","2.479","1.900","1.750","2"
"1","shorthand","1.716","3.450","3.650","2"
"1","shortly","2.711","2.300","1.950","2"
"1","shorts","2.682","1.600","1.650","1"
"1","shortsighted","1.279","4.950","4.500","3"
"1","shot","4.064","1.200","1.000","1"
"1","shotgun","2.710","2.900","3.550","2"
"1","shotguns","1.708","3.500","4.000","2"
"1","shots","3.161","1.500","1.450","1"
"1","shouldered","0.778","3.100","2.050","2"
"1","shouldering","0.845","3.100","2.600","3"
"1","shouldn't","#","#","#","2"
"1","shout","2.924","1.550","1.450","1"
"1","shouted","2.064","1.900","1.850","2"
"1","shouting","2.872","1.850","1.850","2"
"1","shouts","2.332","1.750","1.750","1"
"1","shove","2.829","1.650","1.600","1"
"1","shovel","2.544","1.850","1.800","2"
"1","shoveled","1.079","2.650","1.800","2"
"1","show","4.396","1.250","1.000","1"
"1","showcase","1.505","3.500","2.800","2"
"1","showdown","1.813","3.150","3.050","2"
"1","showered","1.785","2.300","1.800","1"
"1","showering","1.708","2.550","1.850","2"
"1","showery","#","2.500","1.800","2"
"1","showing","3.201","1.700","1.600","2"
"1","showings","0.778","2.450","1.900","2"
"1","showmanship","1.176","4.450","3.950","3"
"1","shown","2.860","1.700","1.000","1"
"1","showplace","0.477","3.450","2.950","2"
"1","showroom","1.518","3.600","3.000","2"
"1","shows","3.326","1.650","1.000","1"
"1","showy","1.204","1.800","1.500","2"
"1","shrank","1.301","1.900","1.600","1"
"1","shred","2.179","1.650","1.500","1"
"1","shredded","1.792","2.750","1.800","2"
"1","shredding","1.518","2.650","1.750","2"
"1","shreds","1.954","1.900","1.800","1"
"1","shrewd","1.863","1.950","1.650","1"
"1","shrewish","0.301","3.000","2.350","2"
"1","shriek","1.518","2.150","1.500","1"
"1","shrieked","0.903","2.850","1.850","1"
"1","shrillness","#","3.650","2.850","2"
"1","shrines","1.114","1.850","1.900","1"
"1","shrinkage","1.114","3.600","3.400","2"
"1","shrinking","1.914","2.350","2.000","2"
"1","shrinks","1.892","2.400","1.900","1"
"1","shrivel","1.322","2.250","1.900","2"
"1","shriveled","1.279","2.850","2.100","2"
"1","shrub","1.176","1.850","1.800","1"
"1","shrubbery","1.279","3.550","2.900","3"
"1","shrug","1.322","1.900","1.750","1"
"1","shrugged","0.778","2.750","1.850","1"
"1","shuck","1.146","1.700","1.000","1"
"1","shudder","1.763","2.400","1.350","2"
"1","shuddered","0.778","2.800","1.650","2"
"1","shuffle","2.179","2.300","1.700","2"
"1","shuffled","1.301","2.500","1.750","2"
"1","shunned","1.447","2.400","1.750","1"
"1","shunt","1.690","1.700","1.550","1"
"1","shush","2.134","1.900","1.750","1"
"1","shut","4.129","1.600","1.100","1"
"1","shutdown","1.881","3.200","2.950","2"
"1","shuts","2.124","1.700","1.450","1"
"1","shuttered","0.477","2.100","1.650","2"
"1","shutters","1.898","2.100","1.550","2"
"1","shutting","2.344","1.950","1.500","2"
"1","shuttle","2.452","2.300","1.600","2"
"1","shuttlecock","#","5.200","4.750","3"
"1","shuttled","0.845","2.400","1.800","2"
"1","shuttling","0.602","2.600","1.850","3"
"1","shy","2.972","1.500","1.000","1"
"1","shyly","0.954","2.000","1.750","2"
"1","sic","1.833","1.500","1.000","1"
"1","Sicilian","1.909","3.300","3.150","3"
"1","Sicilians","1.342","3.600","3.700","3"
"1","sick","3.926","1.150","1.000","1"
"1","sicken","1.301","1.900","1.800","2"
"1","sickened","1.176","2.600","1.850","2"
"1","sickish","#","2.900","2.000","2"
"1","sickly","1.602","1.900","1.850","2"
"1","sickness","2.608","2.850","1.950","2"
"1","sickroom","1.000","3.650","2.950","2"
"1","side","4.011","1.200","1.000","1"
"1","side's","#","#","#","1"
"1","sidearms","0.954","2.950","4.000","2"
"1","sideboards","0.477","3.600","3.500","2"
"1","sideburns","1.778","3.900","4.150","2"
"1","sidecar","1.491","2.950","3.250","2"
"1","sidechairs","#","4.500","3.950","2"
"1","sided","1.041","1.700","1.750","2"
"1","sidelight","#","3.150","2.650","2"
"1","sidelines","1.763","2.950","3.000","2"
"1","sides","2.918","1.550","1.400","1"
"1","sidesaddle","0.778","4.400","4.600","3"
"1","sidesplitting","0.301","5.450","4.900","3"
"1","sidestep","0.602","3.300","3.650","2"
"1","sideswipe","0.477","3.750","3.800","2"
"1","sidewinder","1.623","3.900","4.550","3"
"1","sidewise","0.477","2.950","2.900","2"
"1","Sidney","2.726","2.200","1.950","2"
"1","Sidney's","#","#","#","2"
"1","sienna","1.000","2.750","1.900","3"
"1","sierras","1.255","2.900","2.450","3"
"1","siesta","1.415","2.750","2.750","3"
"1","sieve","1.447","1.900","1.350","1"
"1","sifted","1.000","1.800","1.800","2"
"1","sifting","1.556","1.850","1.900","2"
"1","sighed","1.431","1.900","1.000","1"
"1","sighing","2.029","2.000","1.200","2"
"1","sighs","2.901","1.750","1.000","1"
"1","sight","3.364","1.450","1.000","1"
"1","sighted","2.037","2.000","1.750","2"
"1","sightless","0.903","2.850","2.000","2"
"1","sights","2.378","1.650","1.200","1"
"1","sightseer","0.301","3.250","3.650","2"
"1","sightseers","1.000","3.550","4.350","2"
"1","Sigmund","#","3.200","2.600","2"
"1","sign","3.832","1.850","1.000","1"
"1","signal","3.285","2.450","2.000","2"
"1","signaled","1.362","2.750","2.450","2"
"1","signalizes","#","3.600","4.000","4"
"1","signalman","1.000","3.750","4.450","3"
"1","signature","2.795","3.400","3.600","3"
"1","signers","0.845","1.950","1.750","2"
"1","significance","2.253","4.450","4.250","4"
"1","significant","2.521","4.000","4.250","4"
"1","significants","#","4.500","4.650","4"
"1","signification","#","3.750","3.700","5"
"1","signified","0.602","3.050","2.900","3"
"1","signify","1.518","2.750","2.750","3"
"1","signing","2.706","1.900","1.450","2"
"1","signor","2.312","2.250","2.600","2"
"1","signpost","1.230","3.500","3.550","2"
"1","signposts","0.699","3.850","4.100","2"
"1","signs","3.051","1.850","1.000","1"
"1","silenced","1.643","2.700","2.550","2"
"1","silencer","1.681","2.650","2.700","3"
"1","silences","1.431","2.650","2.550","3"
"1","silencing","1.000","3.000","3.000","3"
"1","silent","3.070","2.000","1.950","2"
"1","silently","1.892","2.900","3.400","3"
"1","silhouette","1.477","4.450","3.200","3"
"1","silhouetted","0.699","4.450","3.450","4"
"1","silica","1.041","2.650","2.550","3"
"1","silk","2.699","1.500","1.400","1"
"1","silkworm","0.602","3.600","3.650","2"
"1","silkworms","#","4.050","4.450","2"
"1","silky","1.613","1.800","1.800","2"
"1","silliest","1.362","2.950","2.500","3"
"1","silly","3.464","1.550","1.100","2"
"1","silvers","0.699","1.950","1.900","2"
"1","silversmith","0.602","4.750","5.200","3"
"1","silverware","2.041","4.550","4.400","3"
"1","simian","1.431","2.700","1.950","2"
"1","similarities","1.763","4.550","4.550","5"
"1","similarity","1.568","3.500","4.050","5"
"1","similarly","1.532","3.550","3.650","4"
"1","simile","1.146","1.900","1.900","3"
"1","Simon","3.103","2.000","1.800","2"
"1","simple","3.659","1.600","1.650","2"
"1","simpler","2.290","1.850","2.400","2"
"1","simples","0.301","1.700","1.800","2"
"1","simplest","1.875","2.650","2.850","2"
"1","simpleton","1.505","3.400","3.650","3"
"1","simplicities","0.301","4.050","4.050","4"
"1","simplification","0.301","4.150","4.300","5"
"1","simplifies","0.699","3.350","3.250","3"
"1","simplify","1.672","2.900","3.150","3"
"1","simply","3.373","1.800","1.850","2"
"1","simulator","1.613","3.100","3.450","4"
"1","sin","2.911","1.000","1.000","1"
"1","Sinatra","2.146","2.950","2.950","3"
"1","since","4.206","1.750","1.450","1"
"1","sincere","2.486","2.500","2.550","2"
"1","sincerely","2.398","3.500","3.300","3"
"1","sincerity","2.013","3.300","3.600","4"
"1","sine","1.000","1.000","1.000","1"
"1","sinews","0.903","1.950","2.900","2"
"1","sinful","1.944","2.650","2.000","2"
"1","sing","3.697","1.000","1.000","1"
"1","singed","1.568","1.650","2.050","1"
"1","singer","2.904","1.400","1.400","2"
"1","singers","2.207","1.750","1.750","2"
"1","singing","3.358","1.600","1.450","2"
"1","single","3.566","1.550","1.650","2"
"1","singled","1.568","1.750","1.850","2"
"1","singlehandedly","0.477","6.850","7.700","5"
"1","singleness","0.477","3.450","3.450","3"
"1","singles","2.155","1.800","1.900","2"
"1","singleton","1.114","3.600","3.650","3"
"1","singly","1.000","1.950","2.150","2"
"1","singsonged","#","4.250","3.800","2"
"1","singularity","1.819","4.000","4.950","5"
"1","singularize","#","4.300","4.700","4"
"1","sink","2.937","1.050","1.000","1"
"1","sinking","2.403","1.700","1.700","2"
"1","sinless","0.301","1.850","1.900","2"
"1","sinning","1.301","1.500","1.350","2"
"1","sins","2.659","1.050","1.100","1"
"1","sinuous","#","2.750","2.800","2"
"1","sinuously","#","3.550","3.500","3"
"1","sinuousness","#","4.250","4.200","3"
"1","sinuses","1.633","2.700","2.700","3"
"1","sinusitis","0.778","3.950","5.800","4"
"1","siphoned","1.079","2.850","2.100","2"
"1","sipped","1.000","1.550","1.250","1"
"1","sipping","1.857","1.600","1.350","2"
"1","sir","4.692","1.450","1.250","1"
"1","sire","2.827","1.050","1.000","1"
"1","sired","1.398","1.500","1.350","1"
"1","siren","2.525","1.850","1.750","2"
"1","sirloin","1.505","3.000","2.950","2"
"1","sissy","2.572","1.900","1.550","2"
"1","sister","3.964","1.800","1.700","2"
"1","sisterhood","1.518","4.250","4.450","3"
"1","sisters","3.145","1.900","1.800","2"
"1","sit","4.201","1.000","1.000","1"
"1","site","2.992","1.200","1.000","1"
"1","sites","2.265","1.600","1.200","1"
"1","sits","2.707","1.100","1.000","1"
"1","sitter","1.909","1.550","1.000","2"
"1","sitter's","#","#","#","2"
"1","sitters","1.041","1.650","1.450","2"
"1","sitting","3.683","1.700","1.100","2"
"1","sittings","0.477","2.250","1.850","2"
"1","situate","0.778","2.650","3.200","3"
"1","situated","1.633","2.750","4.000","4"
"1","situation","3.624","2.650","3.800","4"
"1","six","4.008","1.450","1.000","1"
"1","sixfold","#","3.150","3.700","2"
"1","sixpence","1.491","3.000","2.800","2"
"1","sixpenny","#","3.600","3.100","3"
"1","sixteenth","1.602","3.500","3.000","2"
"1","sixties","1.699","2.650","2.600","2"
"1","sixtieth","0.699","3.300","3.150","2"
"1","size","3.372","1.650","1.000","1"
"1","sized","1.518","1.750","1.700","1"
"1","sizes","2.190","1.800","1.900","2"
"1","sizzling","1.653","2.750","2.000","3"
"1","skates","2.334","1.850","1.800","1"
"1","skating","2.401","1.900","1.750","2"
"1","skeletons","1.954","3.700","3.600","3"
"1","skepticism","1.568","3.900","4.550","4"
"1","skeptics","1.000","3.150","3.000","2"
"1","sketch","2.403","2.150","1.850","1"
"1","sketched","1.114","2.400","2.100","1"
"1","sketches","2.190","2.400","2.100","2"
"1","sketching","1.462","2.750","2.150","2"
"1","sketchpad","0.301","3.650","4.150","2"
"1","skewer","1.342","2.000","2.050","1"
"1","skid","2.049","1.500","1.300","1"
"1","skidded","1.380","2.500","1.700","2"
"1","skidding","1.041","2.350","1.400","2"
"1","skids","1.491","1.650","1.750","1"
"1","skies","2.583","1.600","1.750","1"
"1","skilfully","0.778","3.450","2.950","3"
"1","skill","2.607","1.600","1.150","1"
"1","skilled","2.086","1.850","1.450","1"
"1","skillet","1.799","2.500","2.000","2"
"1","skillfully","1.176","3.900","2.950","3"
"1","skim","1.643","1.500","1.450","1"
"1","skimmer","0.903","2.000","1.650","2"
"1","skimming","1.690","2.500","1.800","2"
"1","skimpy","1.415","2.350","1.950","2"
"1","skin","3.352","1.350","1.200","1"
"1","skindiving","#","3.850","4.650","3"
"1","skinfolds","#","3.850","4.500","2"
"1","skinless","1.079","2.550","2.400","2"
"1","skip","3.032","1.400","1.350","1"
"1","skipped","2.413","1.800","1.600","1"
"1","skips","1.633","1.550","1.700","1"
"1","skirmish","1.462","3.150","2.700","2"
"1","skirmished","#","3.550","3.150","2"
"1","skirmishers","0.699","4.400","3.850","3"
"1","skirmishing","0.602","4.050","3.350","3"
"1","skirt","2.707","1.850","1.750","1"
"1","skirted","0.301","2.000","2.250","2"
"1","skit","1.633","1.350","1.000","1"
"1","skits","0.778","1.450","1.500","1"
"1","skulk","1.204","1.850","1.750","1"
"1","skull","2.876","1.800","1.550","1"
"1","skullcap","0.778","3.900","3.950","2"
"1","skunk","2.223","1.750","1.750","1"
"1","sky","3.359","1.650","1.500","1"
"1","skydiver","0.699","3.500","4.250","3"
"1","skyjack","#","3.050","3.400","2"
"1","skyjacked","#","3.550","3.750","2"
"1","skyjackers","#","3.850","4.950","3"
"1","skylarking","0.778","3.900","4.650","3"
"1","skylights","1.079","3.250","3.400","2"
"1","skyrocket","1.255","3.750","4.700","3"
"1","skyway","1.230","2.600","2.900","2"
"1","slab","1.978","1.350","1.350","1"
"1","slack","2.481","1.500","1.000","1"
"1","slacken","0.778","1.950","1.850","2"
"1","slackened","0.477","2.800","2.350","2"
"1","slackening","0.477","2.950","2.800","3"
"1","slacking","1.602","1.800","1.650","2"
"1","slacks","1.756","1.600","1.300","1"
"1","slag","1.602","1.200","1.250","1"
"1","slake","0.602","1.500","1.200","1"
"1","slaked","0.477","1.750","1.800","1"
"1","slalom","0.602","2.750","2.500","2"
"1","slam","2.473","1.200","1.150","1"
"1","slammed","2.223","2.000","1.850","1"
"1","slamming","1.929","2.000","1.800","2"
"1","slander","1.813","1.750","1.650","2"
"1","slang","1.857","1.650","1.350","1"
"1","slant","1.771","1.700","1.550","1"
"1","slanted","1.255","1.850","1.800","2"
"1","slantwise","#","3.900","3.850","2"
"1","slapped","2.405","1.650","1.250","1"
"1","slapping","1.949","1.650","1.400","2"
"1","slaps","1.653","1.600","1.350","1"
"1","slapstick","1.114","3.550","3.600","2"
"1","slash","2.090","1.500","1.100","1"
"1","slashed","1.892","1.600","1.350","1"
"1","slashes","1.146","1.750","1.800","2"
"1","slashing","1.532","1.800","1.650","2"
"1","slate","2.220","1.450","1.150","1"
"1","slats","1.322","1.500","1.500","1"
"1","slatted","0.301","1.850","1.850","2"
"1","slaughter","2.446","3.150","1.900","2"
"1","slaughtered","2.225","3.800","1.950","2"
"1","Slav","0.602","1.550","1.600","1"
