"Occurrences","Word","LgSUBTLWF","OLD","PLD","NSyll"
"1","semester's","#","#","#","3"
"1","semi","2.079","2.000","1.950","2"
"1","semiautomatic","1.342","5.800","6.400","6"
"1","semicircle","0.602","4.350","5.800","4"
"1","semicircular","#","5.500","6.750","5"
"1","semiconductor","0.301","6.100","6.700","5"
"1","semifinal","1.176","3.700","5.350","4"
"1","semifinalist","#","5.050","6.500","5"
"1","Seminole","0.954","3.050","3.700","3"
"1","semiprecious","0.602","5.250","5.800","4"
"1","semipublic","#","4.800","6.000","4"
"1","semiquantitative","#","7.450","8.900","6"
"1","Semitic","0.699","2.800","2.750","3"
"1","semitropical","#","4.850","5.750","5"
"1","semiweekly","#","4.700","5.300","4"
"1","semolina","0.301","3.200","4.350","4"
"1","Senate's","#","#","#","2"
"1","senatorial","1.114","3.700","3.400","4"
"1","senators","2.083","2.750","2.050","3"
"1","send","3.962","1.300","1.000","1"
"1","sender","1.591","1.550","1.050","2"
"1","sends","2.768","1.600","1.650","1"
"1","Senegal","1.041","2.750","4.550","3"
"1","senescence","0.699","3.700","3.550","3"
"1","senior","3.127","2.000","1.950","2"
"1","seniority","1.748","3.150","4.700","5"
"1","sensation","2.398","2.800","2.700","3"
"1","sensationalist","0.477","4.300","5.450","5"
"1","sensations","1.602","2.850","2.900","3"
"1","sense","3.828","1.800","1.200","1"
"1","sensibilities","1.491","4.500","3.650","5"
"1","sensibility","1.415","3.450","3.200","5"
"1","sensibly","1.114","2.900","2.750","3"
"1","sensing","1.991","1.900","1.850","2"
"1","sensitize","#","3.250","3.250","3"
"1","sensitized","0.778","3.400","3.650","3"
"1","sensual","1.892","2.900","2.650","2"
"1","sensualism","#","3.650","4.400","4"
"1","sensualist","#","3.700","4.250","3"
"1","sent","3.848","1.150","1.000","1"
"1","sentenced","2.330","2.750","3.200","2"
"1","sentencing","1.851","3.250","3.450","3"
"1","sentient","1.380","2.750","2.150","2"
"1","sentimentalists","0.477","5.550","6.200","5"
"1","sentimentality","1.398","5.050","6.400","6"
"1","sentimentalize","0.301","5.250","5.750","5"
"1","sentinel","1.447","2.900","2.750","3"
"1","sentry","1.851","2.150","1.950","2"
"1","separable","0.301","2.650","3.100","4"
"1","separate","3.045","2.650","2.750","3"
"1","separated","2.733","2.650","2.800","4"
"1","separately","2.041","3.200","3.350","4"
"1","separateness","0.903","4.500","4.200","4"
"1","separates","1.898","2.600","3.300","3"
"1","separation","2.396","2.600","2.600","4"
"1","separatism","#","3.250","4.700","5"
"1","separatist","0.954","3.250","4.350","4"
"1","separators","0.602","3.150","3.550","4"
"1","September","2.750","3.900","3.950","3"
"1","septet","0.301","2.600","2.800","2"
"1","septillion","#","3.750","3.700","3"
"1","sepulchral","#","4.800","4.650","3"
