"Participant","VersionNum","VersionHand","Age","Gender","NAART","EHI","EHI_LRA","mean_c","mu_c","sig_c","tau_c","mean_a","mu_a","sig_a","tau_a","zr","a","v_abs","v_con","t0","st0"
38,8,"R","21","F",16,1,"R",0.764007211538462,0.559232148182943,0.0514008441526355,0.204774042019943,0.820598639455782,0.592955536461983,0.0411019088807026,0.227642609560049,0.6136,1.3158,-2.0106,1.0969,0.4964,0.1047
40,10,"R","21","F",17,0.6667,"R",0.832685393258427,0.620755431600282,0.0630089733296128,0.211949889287754,0.913101895734597,0.682777560465652,0.0715918207840854,0.230347897273944,0.6086,1.3271,-1.7659,1.5573,0.5742,0.217
42,2,"R","20","F",9,0.7333,"R",0.915171581769437,0.623268560692047,0.0702650235129921,0.291921014296542,0.935600985221675,0.654570435101591,0.0904120394305614,0.281066147180761,0.5454,1.3033,-1.2231,0.7926,0.5612,0.2589
43,3,"R","20","F",12,0.7778,"R",0.838820224719101,0.600335260085577,0.0561587693178173,0.238466525351178,0.89078896882494,0.671992619275468,0.0427524862876607,0.218826315091113,0.5652,1.3249,-1.6691,1.2361,0.558,0.1596
44,4,"R","20","M",15,0.36,"R",0.978509536784741,0.697540286368277,0.0701807883058736,0.280960447596029,0.918403846153846,0.647116682917276,0.0540570408853658,0.271276434518649,0.5208,1.4168,-1.7455,0.8871,0.5784,0.1907
45,5,"R","23","F",14,0.5294,"R",1.0059020501139,0.752985163500284,0.100533740573217,0.252914948203682,1.05652488687783,0.772419007800329,0.130152319358898,0.284140351058105,0.5624,1.3964,-1.5483,1.3181,0.6754,0.3352
46,6,"R","19","F",11,0.7778,"R",1.03099497487437,0.60866806897028,0.0557982363538728,0.422281980872033,1.14783046683047,0.685555633046866,0.0796862170075757,0.462280461913102,0.6111,1.5519,-1.1672,0.6093,0.5778,0.284
47,7,"R","29","M",17,0.3913,"R",1.01889616252822,0.690262916745057,0.0787850193633923,0.328662298959095,1.15678619153675,0.841836483208554,0.128498803109713,0.314995823459638,0.6613,1.7862,-1.8081,1.1358,0.6168,0.2697
48,8,"R","20","F",25,0.8462,"R",0.952162337662338,0.620424322907517,0.0547985246922609,0.331696154591708,1.11967337807606,0.742961795117019,0.0898322398536613,0.376673359782578,0.6406,1.8712,-1.7596,1.4078,0.5351,0.1539
50,10,"R","20","F",22,0.7647,"R",0.716829099307159,0.546220107581645,0.0391588210142998,0.170665309681336,0.71323732718894,0.549686562636043,0.0445668922121361,0.163540169952162,0.5,1.1846,-1.9047,1.7769,0.477,0.0418
51,1,"R","23","F",16,0.8261,"R",1.00058165548098,0.709567048090343,0.0689976353312611,0.291013456858739,1.02933406113537,0.751984709530139,0.0772886850641033,0.277382603840188,0.574,1.5828,-1.907,1.4262,0.6248,0.2026
52,2,"R","41","F",25,1,"R",0.814219565217391,0.595336169340577,0.0299228746547099,0.218888414072809,0.833065573770492,0.615902947094806,0.0556730178421251,0.217154252437404,0.5,1.3774,-1.5218,1.9329,0.5148,0.0675
53,3,"R","27","M",16,0.4444,"R",1.07003938730853,0.665571673800635,0.0709019577171096,0.404461403000742,1.30372619047619,0.912242914331362,0.206247382231124,0.391580995917275,0.6333,1.7598,-1.1773,1.1589,0.6188,0.3351
54,4,"R","25","F",23,0.8462,"R",0.948716853932584,0.671635481431451,0.0820620695193016,0.277111275083347,0.994628504672897,0.694586649039315,0.0692111281538677,0.299889481935895,0.5384,1.5461,-1.4072,1.5089,0.5718,0.1586
55,5,"R","20","M",21,1,"R",0.840697038724374,0.594774402308079,0.0609338071670221,0.24590352327929,0.878515081206497,0.611696213185396,0.0564096138191825,0.266821526852947,0.5416,1.4035,-1.5332,1.3005,0.5127,0.1208
57,7,"R","26","F",10,1,"R",0.779289887640449,0.520523558012404,0.0359614752404554,0.258744306156698,0.93497037037037,0.609747876812952,0.0424755838494064,0.325225580165342,0.64,1.4406,-1.517,1.4177,0.4807,0.1819
58,8,"R","19","F",12,0.8571,"R",1.05127482678984,0.779526735566532,0.0958395549583431,0.271801469931393,1.12265476190476,0.819495463271631,0.0955796558825735,0.303152124274245,0.58,1.447,-1.4808,1.2912,0.704,0.2849
60,10,"R","20","F",10,0.875,"R",1.06772307692308,0.719254310138987,0.134541936813624,0.348445960964463,1.16723107569721,0.844520052910265,0.126247992086643,0.32275471865363,0.4584,1.4001,-0.0287,1.6756,0.6732,0.4376
61,1,"R","18","F",10,1,"R",1.26440681818182,0.763585905939631,0.101695631867551,0.500757818233003,1.38303619909502,0.901516960290679,0.162693634130073,0.481525505746104,0.6034,1.6848,-1.492,1.1427,0.7469,0.6101
62,2,"R","19","F",12,0.5556,"R",0.905464601769912,0.620416042778303,0.0671230583831149,0.285050532500519,1.02146698113208,0.680356919401048,0.0773322873435241,0.341304988749563,0.574,1.6105,-1.3002,1.4515,0.5298,0.163
63,3,"R","20","F",18,0.6667,"R",0.664006928406466,0.559407628236721,0.0552319807638385,0.104558964548843,0.714138755980861,0.584157142834126,0.0484897248232956,0.129967954082381,0.6111,1.0249,-2.3587,1.8265,0.5134,0.1538
64,4,"R","19","F",15,0.619,"R",0.999673515981735,0.720263614031811,0.0938884308506504,0.279452692865249,1.13399294117647,0.860377426267132,0.13124804458742,0.273669978752438,0.6538,1.5314,-1.6957,1.0681,0.6712,0.3234
65,5,"R","20","F",9,0.7647,"R",0.977727488151659,0.663606362202408,0.0638176987494822,0.314134420106363,1.17699069767442,0.75811088040593,0.0941139518718982,0.418864079493789,0.6833,1.7308,-1.6648,0.882,0.5979,0.2794
66,6,"R","19","F",13,1,"R",1.12236261261261,0.620658538574939,0.0444180452690493,0.501722830346402,1.26381774580336,0.690797511159168,0.0671145091878441,0.573018639625908,0.55,1.7459,-1.1769,1.1783,0.5511,0.3128
67,7,"R","20","F",9,1,"R",0.796507246376812,0.540926630155805,0.0343776448580335,0.255615746364294,0.891488943488943,0.594490083278132,0.0610965623001924,0.29701465909477,0.6458,1.4274,-1.5058,0.8839,0.4727,0.1609
68,8,"R","20","F",16,0.6667,"R",0.658905128205128,0.524233425269281,0.0548470058959037,0.134666984006205,0.672866180048662,0.551744737607135,0.0442036129266878,0.121112206743286,0.5882,0.9764,-2.2655,1.0401,0.4895,0.1352
70,10,"R","19","F",11,1,"R",0.865004854368932,0.609237681875482,0.0642210150168149,0.255782667506611,0.928554245283019,0.672484837227275,0.0679864339014555,0.256069165951592,0.6304,1.3649,-1.7609,0.9992,0.568,0.2263
72,2,"R","25","NA",8,1,"R",1.79271030640669,1.64586635073964,0.473668344550011,0.146840788446785,1.80665263157895,1.76927771054222,0.462204134641446,0.0373616054379513,0.5,0.8157,-1.6688,1.3686,1.448,0.9858
73,3,"R","18","F",7,0.6,"R",0.982004975124378,0.598767050814921,0.0515097106240053,0.383258082165446,1.13008108108108,0.689415407605926,0.0756140386369862,0.440534340157031,0.6111,1.5898,-1.2324,0.8855,0.5512,0.2539
74,4,"L","18","M",15,-0.9048,"L",0.927088785046729,0.651338917154213,0.0428599363163713,0.275746127196055,1.00636787564767,0.751246102418481,0.137283360193532,0.255139871692032,0.5833,1.4164,-1.1088,1.1613,0.5927,0.2537
75,5,"R","23","M",16,0.9231,"R",1.02413425925926,0.667668513143764,0.0959610876423135,0.356470327653553,1.01879285714286,0.672312255968882,0.0790659109271779,0.34637853733838,0.5,1.5739,-1.2283,1.1914,0.5642,0.2548
76,6,"R","26","F",4,0.8667,"R",1.46641046831956,1.10004092022696,0.323969697645758,0.366490395805258,1.51088594164456,1.08480453974185,0.311835042467948,0.426089254839793,0.6052,1.0849,-1.5679,0.7079,1.1253,1.1481
77,7,"R","20","F",21,0.5385,"R",0.728118055555556,0.584945063581757,0.0563688549665829,0.143180602444393,0.734841379310345,0.587329919071156,0.0500905104886478,0.14752029531151,0.5263,1.0956,-2.0073,1.7467,0.526,0.1199
78,8,"R","19","M",24,0.7333,"R",0.803226463104326,0.592571388404617,0.0555527443882382,0.210651625542435,0.806785542168675,0.59479331785783,0.0588979084609434,0.211977898222398,0.5238,1.2296,-1.4409,1.2062,0.5192,0.175
80,10,"R","22","F",4,0.5,"R",1.51345247148289,1.25822738513745,0.246879015866137,0.255292078416085,1.40815883668904,1.21030502962879,0.300309694305088,0.197923872438817,0.4167,1.061,-1.5833,0.3838,1.1873,0.9239
81,1,"R","19","M",22,0.625,"R",0.903533936651584,0.650225631546904,0.0918053226318856,0.253309805534431,0.958658986175115,0.688611763548619,0.0857123731528019,0.270072738833966,0.58,1.435,-1.6489,1.2487,0.5747,0.2325
82,2,"R","20","F",25,0.7273,"R",1.11538043478261,0.693641133674354,0.0791873219377924,0.421825710842627,1.27666519823789,0.703778235503135,0.0677925591796962,0.57291462015033,0.5606,1.9425,-1.4665,1.6018,0.5663,0.332
83,3,"R","23","F",16,0.5238,"R",0.841648058252427,0.627078916290409,0.0729446933428494,0.214594191046902,0.999697050938338,0.719303951611898,0.0685208502343473,0.280444755873571,0.6818,1.2774,-1.5289,0.8072,0.6128,0.2319
84,4,"R","22","M",12,1,"R",1.14323474178404,0.677934246175474,0.0836543422841048,0.465296041718474,1.30247445255474,0.722348437086202,0.113605613671268,0.580198751648853,0.6206,1.6876,-1.1867,1.0322,0.6224,0.4148
85,5,"R","18","F",17,0.8462,"R",0.738687927107062,0.548500185636317,0.0562355464884889,0.19020718887312,0.780273364485981,0.568124770514379,0.059852896703854,0.212167668032663,0.5434,1.3375,-1.7096,1.699,0.4665,0.1125
86,6,"R","18","F",6,0.8462,"R",1.280445,0.768652965767683,0.139643404483041,0.511898375802531,1.36292482915718,0.847891267743657,0.170215743698235,0.515032084893587,0.64,1.4638,-2.0284,0.6109,0.8828,0.9195
