"Participant","VersionNum","VersionHand","Age","Gender","NAART","EHI","EHI_LRA","mean_c","mu_c","sig_c","tau_c","mean_a","mu_a","sig_a","tau_a","zr","a","v_abs","v_con","t0","st0"
125,5,"R","21","F",21,0.4286,"R",0.758048717948718,0.603002156247694,0.0652368253306957,0.155043089694412,0.785892944038929,0.631985802402273,0.0724438791282222,0.153907764036701,0.5833,1.0834,-1.7193,1.0566,0.5524,0.204
126,6,"R","17","F",20,0.8889,"R",0.973258823529412,0.692841545042369,0.084072030786568,0.280478246593296,1.04213856812933,0.772362675640669,0.105074879687428,0.269814948977954,0.6199,1.4501,-1.7297,0.9771,0.6264,0.2516
127,7,"R","21","F",5,0.7273,"R",1.0766724137931,0.718311016926408,0.0670278616880474,0.358403417753579,1.09559101654846,0.737183034710322,0.0879674315616676,0.358359174442075,0.5769,1.4953,-1.417,0.4756,0.64,0.2931
128,8,"R","20","F",15,0.8261,"R",0.893200460829493,0.639912061102083,0.0652002451450657,0.253320654304034,0.95024537037037,0.684777919008204,0.0709564416065309,0.265429330052354,0.5999,1.4348,-1.7476,1.3036,0.5724,0.2062
129,9,"R","22","F",12,0.8947,"R",0.776266365688488,0.575980342672903,0.0558588887566183,0.200295245684563,0.844227272727273,0.633567900552613,0.0640140618159174,0.210647669091869,0.6086,1.3178,-1.9454,1.4683,0.5251,0.1618
130,10,"R","24","F",20,0.92,"R",0.77268903803132,0.604234332922866,0.0535959278581837,0.168423985251925,0.8531375,0.670011843500371,0.0773374066209752,0.183114932433082,0.5952,1.2591,-1.5322,1.7322,0.5474,0.1425
131,1,"R","56","F",19,1,"R",1.02771641791045,0.623376662455564,0.0427887959289359,0.404240794762494,1.26315124153499,0.73997618659919,0.0588384516292744,0.523143407111872,0.647,1.9659,-1.7462,1.4481,0.545,0.177
132,2,"R","18","M",14,0.4286,"R",0.998261964735516,0.768602975055541,0.0952925907617413,0.229706228230778,1.01264356435644,0.757055259137966,0.0854634960870762,0.255604507705941,0.5237,1.209,-1.1475,1.0566,0.7064,0.2938
135,5,"L","22","M",23,-0.0435,"L",0.879822727272727,0.659419096443918,0.069114352486867,0.220356417762195,0.930146511627907,0.696476169824194,0.0657047541841515,0.233662100417975,0.5869,1.3377,-1.7387,1.3589,0.5996,0.1772
136,6,"R","20","F",17,0.5556,"R",0.938467391304348,0.624415135021817,0.0441341789500864,0.314013391226171,1.11163414634146,0.750010052706128,0.0612609188024593,0.361705361370474,0.6034,1.6969,-1.4295,1.7301,0.5557,0.1384
137,7,"R","20","M",20,0.4783,"R",0.922301886792453,0.635231415341737,0.0608974506718915,0.287084610661587,1.05513399503722,0.700812268508583,0.0921568448115186,0.354281892592354,0.62,1.4391,-1.4099,1.1091,0.5981,0.2773
138,8,"R","24","M",12,0.3333,"R",0.964284403669725,0.626812393275997,0.0469760860757722,0.33738730892545,1.00600680272109,0.669737629637297,0.0609361861012859,0.336272610721397,0.574,1.6077,-1.5179,1.2116,0.5446,0.1086
139,9,"R","29","F",14,0.4615,"R",0.718852272727273,0.520909573648159,0.0516220862675172,0.197930961424564,0.777452322738386,0.566954531445004,0.0494331355876195,0.210498424352556,0.5714,1.2551,-1.5064,1.3264,0.4695,0.0842
140,10,"R","18","F",6,0.8462,"R",0.846631313131313,0.58382684779803,0.0562237734570597,0.262806722339843,0.927677647058823,0.671670167407015,0.087699406326366,0.25602291617889,0.6666,1.4086,-1.9263,0.6446,0.5446,0.2509
141,1,"R","18","F",14,0.619,"R",1.09211807228916,0.635631004555631,0.0773803150806163,0.456413238570842,1.16114382022472,0.687573603678369,0.0686779460946621,0.473579953596601,0.5967,1.7862,-1.4586,0.9234,0.5311,0.0767
142,2,"R","18","F",18,1,"R",1.14703944315545,0.699692255293242,0.0923972174055977,0.447133842950894,1.26943107769424,0.79752679996534,0.101868148258339,0.471687488024061,0.5714,1.6105,-1.1467,0.9859,0.6666,0.3302
143,3,"R","17","M",14,0.7273,"R",1.09545454545455,0.656310127700314,0.0899278047477564,0.439111294971891,1.4410523415978,0.605999710188227,7.00320375876653e-08,0.842737748716033,0.6034,1.6691,-0.8528,1.1193,0.6299,0.3363
144,4,"R","23","M",22,0.4615,"R",0.7475775,0.56292726190143,0.0685587017375575,0.184669411481741,0.774007177033493,0.529428965887451,0.0408374771753779,0.244548580186645,0.5237,1.2059,-1.455,1.2592,0.4753,0.1811
145,5,"R","19","F",12,0.913,"R",0.953259860788863,0.68931453907361,0.0628514957335804,0.263890014957942,1.01124703087886,0.739711644727753,0.074694448619593,0.271425033121344,0.5833,1.4324,-1.4309,1.2024,0.6213,0.2003
146,6,"R","17","M",14,0.7333,"R",1.04997453703704,0.724353497197546,0.0908226209034993,0.325607950070377,1.1321803652968,0.794176021482299,0.0961413054796759,0.33791998094078,0.6111,1.5691,-1.596,1.0845,0.6602,0.2984
147,7,"R","26","F",12,0.75,"R",1.00121350762527,0.623352909189515,0.051049838457953,0.377858544435396,1.22096363636364,0.771565553748692,0.0669304536493155,0.449250333929622,0.6562,1.8954,-1.5411,1.3006,0.5634,0.2617
148,8,"R","21","F",16,0.7273,"R",1.00840990990991,0.647611346794125,0.0724170517001167,0.360789403865522,1.22859731543624,0.76520019137847,0.0895142770560546,0.463338652506639,0.6718,1.8872,-1.6543,1.0777,0.571,0.2353
149,9,"R","22","F",18,0.7692,"R",0.792689956331878,0.623228945467663,0.0563058745679252,0.169475763879732,0.892327981651376,0.709102455987919,0.0730976382593506,0.183217702030118,0.6521,1.3207,-2.1251,1.6235,0.5746,0.1157
150,10,"R","19","F",7,0.3333,"R",1.06320604395604,0.657422379058257,0.0689780720242594,0.405820229603705,1.16451086956522,0.815068721743619,0.162741632941817,0.349543834839015,0.6481,1.5519,-1.305,0.4777,0.6358,0.3349
151,1,"R","21","M",9,0.4286,"R",1.11435543766578,0.724828937839559,0.191929808214481,0.389566450371241,1.11573657289003,0.704991814052961,0.161246354079633,0.410654072620896,0.5184,1.5692,-1.073,1.0529,0.5941,0.486
152,2,"R","20","M",21,0.7895,"R",1.11876905311778,0.739142215062935,0.108355850384469,0.379675182822632,1.20309691629956,0.751488521069303,0.112668765761392,0.451628543263044,0.5468,1.8619,-1.4345,1.4015,0.5818,0.2775
153,3,"R","21","F",17,1,"R",0.824725173210162,0.589840140395906,0.0798075584107444,0.234894305658233,0.840536748329621,0.628707721819598,0.0668098048621408,0.211858250849676,0.5908,1.2917,-2.0319,1.1017,0.5443,0.1936
154,4,"R","18","F",13,0.7692,"R",0.858614035087719,0.594070751310245,0.0614899205508388,0.264513591153507,0.962978947368421,0.698631455455735,0.0998435289946836,0.264387083788107,0.6041,1.4163,-1.175,1.298,0.5445,0.2234
155,5,"R","20","F",10,0.9,"R",1.02333732057416,0.734032454243056,0.0825370255987733,0.289316662054604,1.05879194630872,0.750614461372891,0.0772362708472848,0.308184384852586,0.5769,1.5069,-1.6428,1.0859,0.6513,0.2723
156,6,"R","19","F",20,0.8462,"R",0.875772609819121,0.585825092964273,0.0603784074397583,0.289947707542986,0.914409302325581,0.620954142318747,0.0668895898680072,0.293434237995221,0.6249,1.3957,-1.7155,0.5972,0.5298,0.2581
157,7,"R","20","M",12,0.6154,"R",1.2337922705314,0.72761671527466,0.0927730911065067,0.505984169562528,1.33432786885246,0.812794938583645,0.140006360587975,0.521502609110902,0.6206,1.6691,-1.401,1.0371,0.7009,0.5798
158,8,"R","19","F",13,0.6154,"R",1.06847160493827,0.717525074383581,0.0994602372977132,0.350918289738926,1.14270909090909,0.790365569686779,0.132887093898828,0.352415439372115,0.6428,1.6105,-1.8241,0.7598,0.6614,0.4493
159,9,"R","23","F",6,0.3077,"R",1.27389896373057,0.722903459106069,0.0731266589511902,0.55093106911092,1.45959693877551,0.790366653730882,0.0773332933436805,0.669212790528328,0.6724,1.6746,-1.6584,0.9866,0.7787,0.8483
160,10,"R","47","F",10,0.8947,"R",1.07604205607477,0.708256873369175,0.0532743888533524,0.367827404288727,1.14497872340426,0.808594977010487,0.0626918013844595,0.33627893900373,0.6153,1.5003,-1.6782,0.922,0.6764,0.2128
162,2,"R","23","M",18,0.4615,"R",0.915726244343891,0.608479648612936,0.0622864266300815,0.307239372801976,0.949493023255814,0.623713864493127,0.057877434458244,0.325722096057115,0.5384,1.4983,-1.338,1.2067,0.528,0.1452
163,3,"R","22","F",10,0.4167,"R",1.05260696517413,0.646615679295206,0.0851154946769895,0.406041281867571,1.13988990825688,0.720484805008896,0.0731067837870741,0.419369922928571,0.6206,1.7001,-1.5419,0.8458,0.5792,0.2833
164,4,"L","21","F",29,-0.5238,"L",0.901307692307692,0.584228331809055,0.0611959502754982,0.317097594052365,0.979714285714286,0.615187962926884,0.058281113117257,0.364524600878747,0.6034,1.6906,-1.7535,1.3089,0.4831,0.2136
165,5,"R","22","F",15,0.8947,"R",0.988014184397163,0.606257502477974,0.0688420638209122,0.38186252207762,1.08499078341014,0.694007428127619,0.139208407361015,0.390953002770397,0.6129,1.7893,-1.5671,1.0314,0.4991,0.3611
166,6,"R","19","F",19,0.76,"R",0.805668981481481,0.641521504610722,0.114268959780192,0.164119020266309,0.869247448979592,0.683606278422767,0.0858191089417314,0.185663576978177,0.5749,1.1426,-1.3384,1.1607,0.5868,0.2242
167,7,"R","21","F",25,0.8,"R",1.05648484848485,0.628050137055935,0.0922199412919481,0.428371317298927,1.17405620608899,0.703930426132616,0.085095150358012,0.470161628960791,0.5499,1.742,-1.1588,1.3124,0.5555,0.2569
168,8,"R","19","F",25,0.5238,"R",0.807114470842333,0.585399244596832,0.0495732702448182,0.221718633482148,0.84865393258427,0.585460728991573,0.0445185218480837,0.263250576763361,0.4808,1.5236,-1.471,2.1938,0.4804,0.013
170,10,"R","21","F",21,0.6923,"R",0.861768261964736,0.642360905954631,0.0747738776515014,0.219389428491073,0.85796725440806,0.607855403391906,0.0520585720326612,0.250156246283361,0.4773,1.2613,-1.0413,1.1113,0.5456,0.1792
171,1,"R","19","F",8,0.1579,"R",0.761007075471698,0.541118170505115,0.0816051063798069,0.219884351630276,0.802610599078341,0.59077188513326,0.0784126566335439,0.21183575792592,0.6136,1.2799,-1.9075,0.9746,0.4984,0.2326
172,2,"R","23","M",12,1,"R",1.1625079006772,0.813662650452309,0.178754363740711,0.348798797479398,1.2900725,0.936618768995532,0.206941372813187,0.353483781678519,0.5769,1.4934,-1.2927,1.117,0.771,0.6612
173,3,"L","19","F",19,-0.3684,"L",0.676774266365688,0.556708616893526,0.0686733021633675,0.120058807666387,0.767238095238095,0.643910139705705,0.0709123525611165,0.12333633576677,0.7,1.142,-2.6294,1.4129,0.5228,0.1707
174,3,"R","20","F",13,0.8462,"R",0.987920289855073,0.632082145170677,0.118543977620026,0.355877970573921,1.15774226804124,0.780076392840802,0.114385748854561,0.377722291669774,0.6607,1.6159,-1.4833,0.831,0.5833,0.3535
175,5,"R","18","F",10,0.7333,"R",1.11961111111111,0.659033310621368,0.0715443023461683,0.460538339487844,1.15016363636364,0.723488071854407,0.112112798807872,0.426619782664429,0.6206,1.674,-1.4908,0.8858,0.6026,0.3316
176,6,"R","21","F",17,0.9048,"R",1.30669086651054,0.678673508508551,0.0992352917268862,0.628037673037816,1.35690561797753,0.60664687109671,0.000235015765826227,0.750412956487724,0.55,1.7417,-1.3468,1.1722,0.6593,0.5573
177,7,"R","20","F",14,0.8462,"R",0.728772935779816,0.524919505354501,0.0310502453784232,0.203872941614644,0.817439716312057,0.536955228910291,0.0333643403942959,0.280471759500435,0.5652,1.3533,-1.5057,1.7282,0.4459,0.0227
178,8,"R","22","F",24,0.75,"R",0.758361556064073,0.527844381950371,0.0531628480637845,0.230514008119575,0.879853773584906,0.577718189379339,0.0648804557803289,0.302085572364089,0.6199,1.4895,-1.6052,1.2777,0.4438,0.0803
179,9,"R","17","F",13,0.8889,"R",1.14542666666667,0.728088167033528,0.0972508884661173,0.417309340888969,1.19599564270153,0.900741109775094,0.19100025361842,0.295223325735186,0.6129,1.7903,-1.7493,1.1945,0.663,0.4189
180,10,"R","18","F",18,0.913,"R",1.00027488151659,0.665676926512908,0.0978829789827739,0.334614746851965,1.13554126213592,0.771576401776376,0.11950973618838,0.363984915981753,0.6428,1.6105,-1.5106,0.9556,0.5878,0.2714
181,1,"R","19","F",17,0.913,"R",0.994802352941176,0.62786331010318,0.0765460756676795,0.366995302561687,1.13324379232506,0.684742668843072,0.0589612132837905,0.448547638732943,0.6333,1.7505,-1.6504,1.0574,0.5491,0.2596
182,2,"R","19","M",10,0.7692,"R",1.18780203045685,0.812631822355556,0.140337741449578,0.375148911873172,1.20602036199095,0.76234504107088,0.0859597633071842,0.443787919231607,0.5517,1.6701,-1.32,0.9855,0.6632,0.3408
183,3,"R","19","F",8,1,"R",0.864490783410138,0.536164066714457,0.0385403131443066,0.328322414954854,1.01222427440633,0.652070720104387,0.0687612143869076,0.360198433869614,0.6296,1.5822,-1.1464,0.9874,0.4686,0.0902
184,4,"R","20","F",6,0.8095,"R",1.27602919708029,0.715363326276381,0.100323949509905,0.560642703019839,1.45066163141994,0.758512207343037,0.058099351815429,0.692046976348381,0.5,1.6111,-0.6466,1.0528,0.6945,0.5809
185,5,"R","19","M",21,0.44,"R",0.832312227074236,0.5854622326758,0.0461241493101921,0.246804282029035,0.917918552036199,0.616420917390933,0.0649331974806167,0.301534572397372,0.5555,1.5962,-1.5174,1.7827,0.4777,0.0675
187,7,"R","21","F",7,0.6667,"R",0.918176470588235,0.600595966040104,0.0519421323385984,0.3175254066186,1.03914252336449,0.636238342162823,0.0500410199701561,0.402910747178092,0.5689,1.6784,-1.2572,1.2789,0.4943,0.0641
188,8,"R","21","M",20,0.6154,"R",1.22162915601023,0.860088500155861,0.168642050682067,0.361528130747055,1.27249078341014,0.884838939261343,0.187390240769459,0.387870737609085,0.6,1.4363,-1.6595,0.6399,0.8377,0.7411
189,9,"R","29","F",24,1,"R",0.864215246636771,0.61085822561205,0.0433139685260284,0.253314431162304,0.944733183856502,0.653967920746293,0.0632874370116268,0.290735756235908,0.5926,1.5843,-1.7997,1.581,0.5295,0.1732
190,10,"R","21","F",21,1,"R",1.03899757281553,0.588696492479724,0.0498424312959352,0.45038488502873,1.08610337078652,0.654611073746841,0.0858361647751539,0.431549463310651,0.6166,1.7377,-1.6487,0.7981,0.5078,0.2861
193,3,"R","19","M",16,0.6154,"R",0.723468834688347,0.549417578646101,0.0619222564037367,0.174031470646951,0.711079439252336,0.508419601469432,0.0606135045072264,0.202640588431695,0.5249,1.1477,-1.6323,1.1677,0.4655,0.2364
195,5,"R","25","F",27,0.7692,"R",0.847762004175365,0.633474451739529,0.0515351919046576,0.214285180005039,0.989831081081081,0.711209154353258,0.10358544323811,0.278603032654256,0.5536,1.6599,-1.6006,2.3266,0.5408,0.1917
196,6,"R","18","F",3,0.913,"R",1.17645642201835,0.707450050089415,0.0934377774771333,0.469260056012905,1.338,1.18607660500154,0.36372281271447,0.152014667508944,0.6111,1.5523,-0.9335,1.0362,0.7444,0.7881
197,7,"R","20","F",10,1,"R",0.881577011494253,0.64248961606734,0.0758781819010518,0.239196201966649,1.01416397228637,0.783657312898584,0.0949449313895273,0.230544106973515,0.74,1.4348,-2.5229,0.855,0.6427,0.3411
198,8,"R","21","F",8,0.6154,"R",1.35757765667575,0.959575618211454,0.164593694237435,0.39793330540121,1.51683924349882,1.15308051839691,0.233679646709678,0.363895727009555,0.6852,1.5523,-1.8047,0.1228,0.9848,0.6285
199,9,"R","42","F",18,0.3846,"R",1.05569574944072,0.863480244409635,0.135185536357931,0.192256714143667,1.06441870824053,0.824706598209604,0.101423658941725,0.239743250989807,0.5217,1.3386,-1.7523,1.7445,0.7589,0.4128
200,10,"R","19","F",9,0.6923,"R",0.719458115183246,0.602701467425882,0.102783436911051,0.116746207234719,0.781358288770053,0.637537906161841,0.0840790486951502,0.143809543373288,0.647,0.993,-1.9298,0.6432,0.557,0.233
202,2,"R","24","F",18,0.2727,"R",0.969717948717949,0.569060792027932,0.0423786773066633,0.40067010515362,1.0233995584989,0.622639026883414,0.0730549993144448,0.400757059349321,0.5806,1.8304,-1.6409,1.1843,0.4638,0.1559
203,3,"R","20","F",9,1,"R",0.916966981132075,0.57217524811769,0.0520847349473614,0.344745616179705,1.00251477832512,0.63000445636091,0.0635193319376783,0.372573579824463,0.574,1.5838,-1.095,1.0864,0.482,0.1093
205,5,"R","18","F",14,1,"R",1.12826724137931,0.724440680559608,0.176367875005082,0.403848404280172,1.2501712962963,0.840760757143625,0.180100225283161,0.40941923443075,0.6166,1.7276,-1.7677,1.3938,0.7016,0.7567
206,6,"R","21","F",18,0.75,"R",0.696710648148148,0.49610529700163,0.0482658031124833,0.200589160093198,0.773054545454545,0.54362668568542,0.0702607082016708,0.229430710385915,0.5908,1.2828,-1.4136,1.577,0.4321,0.147
207,7,"R","22","M",23,1,"R",0.986944444444444,0.565404220308435,0.0467822844469223,0.421542072759329,1.06832380952381,0.661042345431389,0.113559369589623,0.407238826669898,0.6034,1.713,-1.3102,0.8902,0.4972,0.2965
208,8,"R","21","F",6,0.9231,"R",1.11058095238095,0.694372310973883,0.0776635132690796,0.416210377164575,1.25206434316354,0.955494950055779,0.201468315643299,0.296525013621981,0.5925,1.5709,-0.858,0.6695,0.6891,0.3865
209,9,"R","30","F",19,1,"R",1.01772767857143,0.625696697631472,0.0596478400224181,0.39200868197882,0.991581395348837,0.562875676838766,0.0300558711189904,0.428727453519881,0.4465,1.6673,-1.1451,1.4779,0.509,0.2298
210,10,"R","24","M",11,0.3333,"R",1.28464761904762,0.844921333643983,0.152689414194121,0.439757840679313,1.25114496314496,0.72682951341864,0.0610614447734037,0.52426947780771,0.3751,1.6202,-0.8496,1.438,0.7284,0.5432
211,1,"L","20","F",11,-0.8824,"L",0.685512359550562,0.557636507222053,0.0450114406746353,0.127866152895163,0.687709750566893,0.545055800597201,0.0445984816806981,0.142649354027826,0.4722,1.0444,-1.7898,2.2965,0.5027,0.0965
212,2,"R","28","M",18,0.3077,"R",1.02311135857461,0.685407498170575,0.0951611015872112,0.337796243609235,1.10492307692308,0.837410579134956,0.170408822263515,0.267527327832145,0.6379,1.7276,-1.8065,1.271,0.6047,0.3249
213,3,"R","18","F",6,0.619,"R",0.902294117647059,0.627126145337114,0.0573504220931328,0.275212126753503,0.879192660550459,0.624047056004366,0.0785834388060973,0.255110680440585,0.5434,1.3538,-1.5766,0.9715,0.5459,0.2282
214,4,"R","19","M",6,0.8261,"R",1.11202105263158,0.888664741654718,0.172881329054789,0.223326712030703,1.19295441595442,0.996907794757395,0.192718579797738,0.196075378270238,0.5681,1.2702,-0.763,0.57,0.818,0.4189
215,5,"R","25","F",20,0.3,"R",0.719024336283186,0.595368804881536,0.0750817826084168,0.123668156031129,0.754094688221709,0.611456733799117,0.056983742831628,0.142638514672328,0.5526,1.0978,-2.151,1.9582,0.5379,0.1749
216,6,"R","19","F",10,1,"R",1.06969555035129,0.583549544701487,0.0895065481356232,0.486024477557861,1.19007425742574,0.696378753706221,0.111397867518909,0.493665924483477,0.5689,1.6941,-1.044,0.771,0.539,0.36
217,7,"R","21","F",19,1,"R",0.702473958333333,0.510426998834855,0.0669809551924957,0.192036157812317,0.723807980049875,0.514982297877459,0.0622141804341181,0.208826248749506,0.5749,1.1667,-1.605,0.9664,0.4511,0.1776
218,8,"R","50","F",21,0.84,"R",1.22496995708155,0.804248232009253,0.102900352951232,0.420929262893276,1.52369772727273,1.00421346582034,0.104409985169533,0.519531428543356,0.6212,1.9432,-1.687,1.6355,0.7393,0.4967
219,9,"R","20","F",19,0.9048,"R",0.933148796498906,0.651471093258424,0.0801829201724761,0.281684863650715,0.967064301552106,0.688693913144513,0.08309132907968,0.278375598227178,0.5555,1.5558,-1.6164,1.5327,0.5588,0.225
220,10,"R","20","F",24,0.9231,"R",0.796795652173913,0.591534731002367,0.0572144898490331,0.205283705146955,0.874808716707022,0.660232984889759,0.0711493141332988,0.214564066909695,0.5652,1.3762,-1.5399,1.9154,0.5303,0.2073
221,1,"R","19","F",21,0.8462,"R",0.841694805194805,0.642142490936749,0.0493863901692991,0.199551701660918,0.918835189309577,0.74642211872701,0.0769776696238549,0.17240680912719,0.64,1.4487,-2.3331,1.6717,0.5918,0.139
222,2,"R","20","F",15,0.7391,"R",0.724852941176471,0.550960919765525,0.0499887396886036,0.173914433533349,0.820862694300518,0.630497238099245,0.0779909253935118,0.190369686681299,0.5909,1.3166,-1.1695,1.714,0.4869,0.1416
223,3,"R","24","F",23,0.68,"R",0.936346698113208,0.619458327425524,0.0711734844220493,0.316937831117451,0.973527964205817,0.644298169710413,0.0688462694386511,0.329382407051305,0.5555,1.6089,-1.545,1.2009,0.516,0.1198
224,4,"R","19","F",9,0.5,"R",1.13506459330144,0.741682876677486,0.112465462278858,0.393244174992838,1.0952030075188,0.69939884286051,0.0901573892103492,0.39572726618496,0.4424,1.5326,-0.901,1.3131,0.6373,0.4007
225,5,"R","18","F",17,0.8095,"R",0.987664335664336,0.684698982176592,0.0915483319626702,0.302959868877785,1.03688505747126,0.718020457322654,0.0976379186378055,0.318943092087307,0.5576,1.5493,-1.4366,1.2813,0.585,0.2713
226,6,"R","27","F",25,0.9231,"R",1.00015367965368,0.653715318248521,0.0461500023122303,0.346373291818126,1.04452888888889,0.742638247929712,0.0861757287908786,0.301938893696595,0.55,1.7341,-1.7639,1.5427,0.5679,0.241
227,7,"R","26","M",24,0.6842,"R",1.1355595505618,0.628635834701665,0.0604362747853217,0.506897406937723,1.20170952380952,0.72069384598313,0.0994149424388923,0.481161002303901,0.5535,1.6649,-1.3561,1.0988,0.5847,0.3555
228,8,"R","19","F",23,0.5385,"R",0.829889434889435,0.55414514233039,0.0458778684763949,0.275729597480085,0.868324786324786,0.582851568879769,0.066469004181407,0.285479190143529,0.6153,1.5416,-1.9975,1.0487,0.4537,0.1196
229,9,"R","20","M",12,0.6,"R",1.03110962566845,0.681857151850892,0.0996983841054419,0.349185483668654,1.17412222222222,0.843855462476696,0.177906117600697,0.330244830336036,0.6,1.4704,-0.9344,0.408,0.6667,0.4123
230,10,"R","35","F",22,0.6154,"R",0.783111842105263,0.594883720392871,0.043875043505621,0.188215406029547,0.840721603563474,0.654807783821314,0.057831525342845,0.185859162118166,0.6087,1.3187,-2.0585,1.5978,0.5477,0.143
231,1,"R","18","M",17,0.3846,"R",0.564472941176471,0.502192047722224,0.0369323559207539,0.0622840180748113,0.563421412300683,0.509978087380626,0.0368163972164406,0.0534484179402199,0.5,0.7106,-2.7851,2.3889,0.4751,0.0874
232,2,"R","20","F",15,1,"R",0.64329792147806,0.50280234915401,0.0435009475694182,0.140496042197386,0.736708762886598,0.585844448017609,0.0412040447306371,0.150862020608195,0.7105,1.0869,-2.3363,0.912,0.4983,0.1171
233,3,"R","19","M",9,0.5385,"R",1.03553899082569,0.672664428232553,0.0859926492023068,0.36281967032281,1.24861961722488,0.75496643327113,0.114296180129174,0.493604247272866,0.6612,1.7904,-1.4205,1.0393,0.5881,0.3781
234,4,"R","20","F",11,0.5385,"R",0.868963470319635,0.600435478053985,0.0616540452284881,0.268568759737866,0.907864077669903,0.599453739482868,0.0383179328419825,0.308489555107293,0.5208,1.41,-1.1882,1.376,0.5144,0.0799
235,5,"R","22","F",13,0.9091,"R",0.858376262626263,0.699140860496459,0.0983981652607512,0.159253267669301,0.799883408071749,0.615547369588766,0.0654966196062235,0.184323725535982,0.4251,1.1857,-1.4549,1.4695,0.5758,0.2108
236,6,"R","22","M",11,0.6,"R",0.866516795865633,0.615268682448777,0.0667475289854983,0.2512300268807,0.881537037037037,0.601170474251507,0.0593024233445079,0.280392778940283,0.5624,1.3827,-1.4774,0.9627,0.5191,0.1725
237,7,"R","23","F",21,0.5455,"R",0.760744827586207,0.557011208679022,0.0450866562803318,0.203717497433704,0.77052027027027,0.597108856741896,0.065800650895508,0.17339663153863,0.5476,1.2432,-1.9059,1.3998,0.5033,0.0865
238,8,"R","21","F",14,0.7692,"R",0.914947963800905,0.606447807839206,0.0496032891335326,0.308518898342158,1.05049278846154,0.723699953097805,0.0838490610290384,0.326751811136315,0.6428,1.6123,-1.4577,1.152,0.5376,0.1677
239,9,"R","21","F",5,0.52,"R",0.908827956989247,0.604268466956554,0.0810073076211894,0.304556081257846,0.924087087087087,0.638640990073863,0.0755730472537375,0.285394506375986,0.5227,1.2881,-0.6446,0.7257,0.5416,0.2193
240,10,"R","30","F",8,0.6923,"R",1.50253211009174,0.888809962265425,0.111899453175524,0.613581700446601,1.4553550295858,0.862176781836565,0.0806061184496836,0.593248937083253,0.3793,1.6844,-0.1217,1.3861,0.8254,0.5158
241,1,"R","29","M",17,0.8462,"R",0.819930493273543,0.635370019397955,0.0599718905856334,0.184585147921026,0.892571428571429,0.735987806414996,0.0993576970758277,0.156570941002667,0.6304,1.3762,-2.1561,1.6002,0.5768,0.212
242,2,"R","18","F",11,0.6154,"R",0.910134210526316,0.657883366768954,0.13965245664411,0.252050133747581,0.989490384615385,0.697284378156461,0.12578429619388,0.292137617443748,0.6304,1.3494,-1.5914,0.3554,0.6162,0.3706
243,3,"R","21","M",21,0.8095,"R",0.9744,0.618034552818899,0.0525819445953806,0.356395627280323,1.06466813186813,0.665374861408561,0.0624576521426892,0.39928065531938,0.55,1.7668,-1.4686,1.535,0.5165,0.1378
244,4,"R","18","F",3,0,"A",0.732898514851485,0.562928975915477,0.0645777596069132,0.170008762295446,0.782954423592493,0.640797095802928,0.0754175885011767,0.142161084201598,0.6315,1.1017,-1.6625,0.8725,0.5376,0.1964
245,5,"R","20","F",13,1,"R",1.02334731934732,0.665893009148643,0.0790346259381446,0.357400956566762,1.18159759036145,0.854251914064357,0.0972859923236575,0.327313282157075,0.6851,1.5693,-1.5749,0.8177,0.648,0.2822
246,6,"R","22","F",15,0.8889,"R",1.09683035714286,0.650413610085945,0.0856777575443962,0.44633669198314,1.19582339449541,0.726303479200293,0.0597266566620806,0.469425744811019,0.5806,1.8066,-1.4591,1.3058,0.576,0.3772
247,7,"R","20","M",18,0.5556,"R",0.670573493975904,0.534939690837361,0.0644554573277985,0.135632944438905,0.661663507109005,0.507143864238524,0.0551149916559597,0.154507628960773,0.4706,1.0174,-1.4747,1.6931,0.4741,0.1772
248,8,"R","20","M",10,0.5,"R",1.00050492610837,0.644238685229917,0.0695502643872735,0.356305106820134,1.00615081206497,0.689112019917054,0.0821384014141974,0.317039369399888,0.5599,1.4934,-1.3912,0.8332,0.5738,0.1652
249,9,"R","19","M",10,0.7273,"R",1.00998847926267,0.636133038047056,0.0938959589473016,0.373851534625066,1.21126477541371,0.752699260050345,0.11232231204083,0.458613522143976,0.65,1.7729,-1.4694,1.0127,0.5647,0.3095
250,10,"R","18","F",13,0.9,"R",0.733946759259259,0.535062063723117,0.0676063217223404,0.198912910924194,0.757340909090909,0.570681945999283,0.0644620939584942,0.186642212931343,0.5237,1.2165,-1.3349,1.4593,0.4687,0.1839
251,1,"R","19","M",15,0.6522,"R",1.1328133640553,0.808303775961221,0.166529292748394,0.324527011083336,1.20951991150442,0.912955105688652,0.220875899307084,0.296537174139175,0.6111,1.6065,-1.728,1.1812,0.7324,0.5754
252,2,"R","23","M",20,0.8462,"R",1.01833488372093,0.69607607479202,0.0762629600996333,0.322266694963503,1.14588418708241,0.768233351190984,0.0885868778231199,0.377703749857923,0.6551,1.6954,-1.8895,1.066,0.6213,0.2776
253,3,"R","22","M",23,0.5789,"R",1.42510412147505,0.868976655313456,0.188874383908723,0.556178634749101,1.56033634311512,0.899544930636495,0.0730844963910311,0.691704034956413,0.6617,1.9619,-2.4095,1.7387,0.8894,0.9627
